club_id,club_name,competition_id,competition_name,country_name,season,season_label,previous_season_label,matches_played,wins,draws,losses,points_earned,points_per_match,win_percentage,goals_scored,goals_conceded,goal_difference,goal_difference_per_match,points_per_match_change,win_percentage_change,goal_difference_per_match_change,performance_direction
2036,1. Fußballclub Heidenheim 1846,L1,bundesliga,Germany,2023,2023-24,,34,10,12,12,42,1.24,29.41,50,55,-5,-0.147,,,,No consecutive comparison
2036,1. Fußballclub Heidenheim 1846,L1,bundesliga,Germany,2024,2024-25,2023-24,34,8,5,21,29,0.85,23.53,37,64,-27,-0.794,-0.39,-5.88,-0.647,Decline
3,1.FC Köln,L1,bundesliga,Germany,2020,2020-21,,34,8,9,17,33,0.97,23.53,34,60,-26,-0.765,,,,No consecutive comparison
3,1.FC Köln,L1,bundesliga,Germany,2021,2021-22,2020-21,34,14,10,10,52,1.53,41.18,52,49,3,0.088,0.56,17.65,0.853,Improvement
3,1.FC Köln,L1,bundesliga,Germany,2022,2022-23,2021-22,34,10,12,12,42,1.24,29.41,49,54,-5,-0.147,-0.29,-11.77,-0.235,Decline
3,1.FC Köln,L1,bundesliga,Germany,2023,2023-24,2022-23,34,5,12,17,27,0.79,14.71,28,60,-32,-0.941,-0.45,-14.7,-0.794,Decline
89,1.FC Union Berlin,L1,bundesliga,Germany,2020,2020-21,,34,12,14,8,50,1.47,35.29,50,43,7,0.206,,,,No consecutive comparison
89,1.FC Union Berlin,L1,bundesliga,Germany,2021,2021-22,2020-21,34,16,9,9,57,1.68,47.06,50,44,6,0.176,0.21,11.77,-0.03,Improvement
89,1.FC Union Berlin,L1,bundesliga,Germany,2022,2022-23,2021-22,34,18,8,8,62,1.82,52.94,51,38,13,0.382,0.14,5.88,0.206,Improvement
89,1.FC Union Berlin,L1,bundesliga,Germany,2023,2023-24,2022-23,34,9,6,19,33,0.97,26.47,33,58,-25,-0.735,-0.85,-26.47,-1.117,Decline
89,1.FC Union Berlin,L1,bundesliga,Germany,2024,2024-25,2023-24,34,10,10,14,40,1.18,29.41,35,51,-16,-0.471,0.21,2.94,0.264,Improvement
39,1.FSV Mainz 05,L1,bundesliga,Germany,2020,2020-21,,34,10,9,15,39,1.15,29.41,39,56,-17,-0.5,,,,No consecutive comparison
39,1.FSV Mainz 05,L1,bundesliga,Germany,2021,2021-22,2020-21,34,13,7,14,46,1.35,38.24,50,45,5,0.147,0.2,8.83,0.647,Improvement
39,1.FSV Mainz 05,L1,bundesliga,Germany,2022,2022-23,2021-22,34,12,10,12,46,1.35,35.29,54,55,-1,-0.029,0,-2.95,-0.176,No change
39,1.FSV Mainz 05,L1,bundesliga,Germany,2023,2023-24,2022-23,34,7,14,13,35,1.03,20.59,39,51,-12,-0.353,-0.32,-14.7,-0.324,Decline
39,1.FSV Mainz 05,L1,bundesliga,Germany,2024,2024-25,2023-24,34,14,10,10,52,1.53,41.18,55,43,12,0.353,0.5,20.59,0.706,Improvement
1147,AC Ajaccio,FR1,ligue-1,France,2022,2022-23,,38,7,5,26,26,0.68,18.42,23,74,-51,-1.342,,,,No consecutive comparison
