club_id,club_name,competition_id,competition_name,country_name,seasons_played,home_matches,home_wins,home_win_percentage,away_matches,away_wins,away_win_percentage,home_away_win_percentage_gap,absolute_home_away_gap,performance_profile,home_performance_rank,away_performance_rank,home_away_gap_rank
273,Stade Rennais FC,FR1,ligue-1,France,5,91,54,59.34,91,28,30.77,28.57,28.57,Stronger at home,13,30,1
12,Associazione Sportiva Roma,IT1,serie-a,Italy,5,95,59,62.11,95,33,34.74,27.37,27.37,Stronger at home,10,26,2
13,Atlético de Madrid,ES1,laliga,Spain,5,95,70,73.68,95,46,48.42,25.26,25.26,Stronger at home,4,12,3
18,Borussia Mönchengladbach,L1,bundesliga,Germany,5,85,38,44.71,85,18,21.18,23.53,23.53,Stronger at home,31,44,4
23826,RB Leipzig,L1,bundesliga,Germany,5,85,54,63.53,85,34,40,23.53,23.53,Stronger at home,9,21,4
1049,Valencia CF,ES1,laliga,Spain,5,95,39,41.05,95,17,17.89,23.16,23.16,Stronger at home,35,46,5
16,Borussia Dortmund,L1,bundesliga,Germany,5,85,59,69.41,85,40,47.06,22.35,22.35,Stronger at home,7,14,6
621,Athletic Bilbao,ES1,laliga,Spain,5,95,49,51.58,95,28,29.47,22.11,22.11,Stronger at home,21,33,7
430,ACF Fiorentina,IT1,serie-a,Italy,5,95,50,52.63,95,29,30.53,22.1,22.1,Stronger at home,20,31,8
89,1.FC Union Berlin,L1,bundesliga,Germany,5,85,41,48.24,85,24,28.24,20,20,Stronger at home,26,36,9
148,Tottenham Hotspur,GB1,premier-league,England,5,95,54,56.84,95,35,36.84,20,20,Stronger at home,16,24,9
1025,Bologna Football Club 1909,IT1,serie-a,Italy,5,95,44,46.32,95,26,27.37,18.95,18.95,Stronger at home,29,37,10
31,Liverpool FC,GB1,premier-league,England,5,95,67,70.53,95,49,51.58,18.95,18.95,Stronger at home,6,10,10
940,Celta de Vigo,ES1,laliga,Spain,5,95,40,42.11,95,23,24.21,17.9,17.9,Stronger at home,34,41,11
506,Juventus FC,IT1,serie-a,Italy,5,95,59,62.11,95,43,45.26,16.85,16.85,Stronger at home,10,15,12
331,CA Osasuna,ES1,laliga,Spain,5,95,39,41.05,95,23,24.21,16.84,16.84,Stronger at home,35,41,13
3709,Getafe CF,ES1,laliga,Spain,5,95,32,33.68,95,16,16.84,16.84,16.84,Stronger at home,43,47,13
762,Newcastle United,GB1,premier-league,England,5,95,49,51.58,95,33,34.74,16.84,16.84,Stronger at home,21,26,13
46,Inter Milan,IT1,serie-a,Italy,5,95,72,75.79,95,57,60,15.79,15.79,Stronger at home,2,6,14
368,Sevilla FC,ES1,laliga,Spain,5,95,45,47.37,95,30,31.58,15.79,15.79,Stronger at home,27,29,14
1082,LOSC Lille,FR1,ligue-1,France,5,91,52,57.14,91,38,41.76,15.38,15.38,Stronger at home,15,18,15
24,Eintracht Frankfurt,L1,bundesliga,Germany,5,85,40,47.06,85,27,31.76,15.3,15.3,Stronger at home,28,28,16
27,Bayern Munich,L1,bundesliga,Germany,5,85,65,76.47,85,52,61.18,15.29,15.29,Stronger at home,1,5,17
3911,Stade Brestois 29,FR1,ligue-1,France,5,91,40,43.96,91,27,29.67,14.29,14.29,Stronger at home,32,32,18
167,FC Augsburg,L1,bundesliga,Germany,5,85,31,36.47,85,19,22.35,14.12,14.12,Stronger at home,41,43,19
533,TSG 1899 Hoffenheim,L1,bundesliga,Germany,5,85,33,38.82,85,21,24.71,14.11,14.11,Stronger at home,38,40,20
985,Manchester United,GB1,premier-league,England,5,95,51,53.68,95,38,40,13.68,13.68,Stronger at home,19,20,21
826,RC Lens,FR1,ligue-1,France,5,91,49,53.85,91,37,40.66,13.19,13.19,Stronger at home,18,19,22
418,Real Madrid,ES1,laliga,Spain,5,95,71,74.74,95,59,62.11,12.63,12.63,Stronger at home,3,4,23
667,RC Strasbourg Alsace,FR1,ligue-1,France,5,91,37,40.66,91,26,28.57,12.09,12.09,Stronger at home,36,34,24
276,Hellas Verona,IT1,serie-a,Italy,5,95,31,32.63,95,20,21.05,11.58,11.58,Stronger at home,44,45,25
281,Manchester City,GB1,premier-league,England,5,95,72,75.79,95,61,64.21,11.58,11.58,Stronger at home,2,2,25
150,Real Betis Balompié,ES1,laliga,Spain,5,95,47,49.47,95,36,37.89,11.58,11.58,Stronger at home,23,22,25
543,Wolverhampton Wanderers,GB1,premier-league,England,5,95,37,38.95,95,26,27.37,11.58,11.58,Stronger at home,37,37,25
1041,Olympique Lyon,FR1,ligue-1,France,5,91,50,54.95,91,40,43.96,10.99,10.99,Stronger at home,17,17,26
79,VfB Stuttgart,L1,bundesliga,Germany,5,85,36,42.35,85,27,31.76,10.59,10.59,Stronger at home,33,28,27
405,Aston Villa,GB1,premier-league,England,5,95,48,50.53,95,38,40,10.53,10.53,Stronger at home,22,20,28
162,AS Monaco,FR1,ligue-1,France,5,91,55,60.44,91,46,50.55,9.89,9.89,Stronger at home,11,11,29
39,1.FSV Mainz 05,L1,bundesliga,Germany,5,85,32,37.65,85,24,28.24,9.41,9.41,Stronger at home,39,36,30
11,Arsenal FC,GB1,premier-league,England,5,95,61,64.21,95,53,55.79,8.42,8.42,Stronger at home,8,8,31
873,Crystal Palace,GB1,premier-league,England,5,95,34,35.79,95,26,27.37,8.42,8.42,Stronger at home,42,37,31
29,Everton FC,GB1,premier-league,England,5,95,34,35.79,95,26,27.37,8.42,8.42,Stronger at home,42,37,31
681,Real Sociedad,ES1,laliga,Spain,5,95,46,48.42,95,38,40,8.42,8.42,Stronger at home,24,20,31
1050,Villarreal CF,ES1,laliga,Spain,5,95,46,48.42,95,38,40,8.42,8.42,Stronger at home,24,20,31
60,SC Freiburg,L1,bundesliga,Germany,5,85,39,45.88,85,32,37.65,8.23,8.23,Stronger at home,30,23,32
131,FC Barcelona,ES1,laliga,Spain,5,95,67,70.53,95,60,63.16,7.37,7.37,Stronger at home,6,3,33
379,West Ham United,GB1,premier-league,England,5,95,39,41.05,95,32,33.68,7.37,7.37,Stronger at home,35,27,33
15,Bayer 04 Leverkusen,L1,bundesliga,Germany,5,85,50,58.82,85,44,51.76,7.06,7.06,Stronger at home,14,9,34
244,Olympique Marseille,FR1,ligue-1,France,5,91,49,53.85,91,43,47.25,6.6,6.6,Stronger at home,18,13,35
995,FC Nantes,FR1,ligue-1,France,5,91,27,29.67,91,21,23.08,6.59,6.59,Stronger at home,47,42,36
417,OGC Nice,FR1,ligue-1,France,5,91,44,48.35,91,38,41.76,6.59,6.59,Stronger at home,25,18,36
1421,Stade Reims,FR1,ligue-1,France,5,91,29,31.87,91,24,26.37,5.5,5.5,Stronger at home,45,38,37
800,Atalanta BC,IT1,serie-a,Italy,5,95,48,50.53,95,53,55.79,-5.26,5.26,Stronger away,22,8,38
631,Chelsea FC,GB1,premier-league,England,5,95,47,49.47,95,42,44.21,5.26,5.26,Stronger at home,23,16,38
398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,5,95,51,53.68,95,46,48.42,5.26,5.26,Stronger at home,19,12,38
583,Paris Saint-Germain,FR1,ligue-1,France,5,91,65,71.43,91,62,68.13,3.3,3.3,Stronger at home,5,1,39
1237,Brighton & Hove Albion,GB1,premier-league,England,5,95,35,36.84,95,32,33.68,3.16,3.16,Stronger at home,40,27,40
416,Torino FC,IT1,serie-a,Italy,5,95,30,31.58,95,27,28.42,3.16,3.16,Stronger at home,46,35,40
5,AC Milan,IT1,serie-a,Italy,5,95,54,56.84,95,56,58.95,-2.11,2.11,Stronger away,16,7,41
82,VfL Wolfsburg,L1,bundesliga,Germany,5,85,32,37.65,85,31,36.47,1.18,1.18,Stronger at home,39,25,42
969,Montpellier HSC,FR1,ligue-1,France,5,91,27,29.67,91,28,30.77,-1.1,1.1,Stronger away,47,30,43
6195,SSC Napoli,IT1,serie-a,Italy,5,95,57,60,95,56,58.95,1.05,1.05,Stronger at home,12,7,44
410,Udinese Calcio,IT1,serie-a,Italy,5,95,25,26.32,95,25,26.32,0,0,Equal performance,48,39,45
