club_id,club_name,competition_id,competition_name,country_name,season,season_label,matches_played,wins,points_earned,points_per_match,win_percentage,goal_difference,players_with_minutes,players_with_eligible_valuation,valuation_coverage_percentage,estimated_squad_value_eur,estimated_squad_value_millions_eur,expected_points_per_match,performance_residual,league_season_model_r_squared,eligible_club_count,efficiency_rank_within_league_season,efficiency_rank_across_leagues
89,1.FC Union Berlin,L1,bundesliga,Germany,2020,2020-21,34,12,50,1.47,35.29,7,27,27,100,80350000,80.35,0.952,0.518,0.605,18,1,1
399,Leeds United,GB1,premier-league,England,2020,2020-21,38,18,59,1.55,47.37,8,22,22,100,223900000,223.9,1.119,0.431,0.762,20,1,2
2687,Cádiz CF,ES1,laliga,Spain,2020,2020-21,38,11,44,1.16,28.95,-22,34,32,94.12,46650000,46.65,0.753,0.407,0.82,20,1,3
1082,LOSC Lille,FR1,ligue-1,France,2020,2020-21,38,24,83,2.18,63.16,41,21,21,100,319500000,319.5,1.795,0.385,0.811,20,1,4
379,West Ham United,GB1,premier-league,England,2020,2020-21,38,19,65,1.71,50,15,24,24,100,324500000,324.5,1.339,0.371,0.762,20,2,5
826,RC Lens,FR1,ligue-1,France,2020,2020-21,38,15,57,1.5,39.47,1,27,25,92.59,101600000,101.6,1.161,0.339,0.811,20,2,6
4171,Benevento Calcio,IT1,serie-a,Italy,2020,2020-21,38,7,33,0.87,18.42,-35,29,29,100,49100000,49.1,0.539,0.331,0.74,20,1,7
1038,UC Sampdoria,IT1,serie-a,Italy,2020,2020-21,38,15,52,1.37,39.47,-2,27,27,100,116750000,116.75,1.054,0.316,0.74,20,2,8
24,Eintracht Frankfurt,L1,bundesliga,Germany,2020,2020-21,34,16,60,1.76,47.06,16,24,23,95.83,234150000,234.15,1.448,0.312,0.605,18,2,9
46,Inter Milan,IT1,serie-a,Italy,2020,2020-21,38,28,91,2.39,73.68,54,25,25,100,653400000,653.4,2.078,0.312,0.74,20,3,10
82,VfL Wolfsburg,L1,bundesliga,Germany,2020,2020-21,34,17,61,1.79,50,24,26,26,100,255250000,255.25,1.488,0.302,0.605,18,3,11
3522,Spezia Calcio,IT1,serie-a,Italy,2020,2020-21,38,9,39,1.03,23.68,-20,35,35,100,71350000,71.35,0.762,0.268,0.74,20,4,12
1132,Burnley FC,GB1,premier-league,England,2020,2020-21,38,10,39,1.03,26.32,-22,25,25,100,124200000,124.2,0.77,0.26,0.762,20,3,13
368,Sevilla FC,ES1,laliga,Spain,2020,2020-21,38,24,77,2.03,63.16,20,25,25,100,380500000,380.5,1.771,0.259,0.82,20,2,14
800,Atalanta BC,IT1,serie-a,Italy,2020,2020-21,38,23,78,2.05,60.53,43,29,29,100,406300000,406.3,1.796,0.254,0.74,20,5,15
10,Arminia Bielefeld,L1,bundesliga,Germany,2020,2020-21,34,9,35,1.03,26.47,-26,26,26,100,55150000,55.15,0.777,0.253,0.605,18,4,16
27,Bayern Munich,L1,bundesliga,Germany,2020,2020-21,34,24,78,2.29,70.59,55,29,29,100,842100000,842.1,2.041,0.249,0.605,18,5,17
281,Manchester City,GB1,premier-league,England,2020,2020-21,38,27,86,2.26,71.05,51,24,23,95.83,1008300000,1008.3,2.012,0.248,0.762,20,4,18
1531,Elche CF,ES1,laliga,Spain,2020,2020-21,38,8,36,0.95,21.05,-21,30,28,93.33,44750000,44.75,0.733,0.217,0.82,20,3,19
969,Montpellier HSC,FR1,ligue-1,France,2020,2020-21,38,14,54,1.42,36.84,-2,25,24,96,111900000,111.9,1.214,0.206,0.811,20,3,20
6574,US Sassuolo,IT1,serie-a,Italy,2020,2020-21,38,17,62,1.63,44.74,8,28,28,100,221850000,221.85,1.436,0.194,0.74,20,6,21
418,Real Madrid,ES1,laliga,Spain,2020,2020-21,38,25,84,2.21,65.79,39,25,25,100,648400000,648.4,2.03,0.18,0.82,20,4,22
162,AS Monaco,FR1,ligue-1,France,2020,2020-21,38,24,78,2.05,63.16,34,30,30,100,367600000,367.6,1.872,0.178,0.811,20,4,23
13,Atlético de Madrid,ES1,laliga,Spain,2020,2020-21,38,26,86,2.26,68.42,42,25,25,100,753500000,753.5,2.103,0.157,0.82,20,5,24
873,Crystal Palace,GB1,premier-league,England,2020,2020-21,38,12,44,1.16,31.58,-25,24,24,100,184500000,184.5,1.005,0.155,0.762,20,5,25
1158,FC Lorient,FR1,ligue-1,France,2020,2020-21,38,11,42,1.11,28.95,-18,27,26,96.3,70925000,70.93,0.962,0.148,0.811,20,5,26
5,AC Milan,IT1,serie-a,Italy,2020,2020-21,38,24,79,2.08,63.16,33,29,29,100,512900000,512.9,1.934,0.146,0.74,20,7,27
150,Real Betis Balompié,ES1,laliga,Spain,2020,2020-21,38,17,61,1.61,44.74,0,25,25,100,202200000,202.2,1.464,0.146,0.82,20,6,28
1003,Leicester City,GB1,premier-league,England,2020,2020-21,38,20,66,1.74,52.63,18,27,26,96.3,500500000,500.5,1.596,0.144,0.762,20,6,29
985,Manchester United,GB1,premier-league,England,2020,2020-21,38,21,74,1.95,55.26,29,29,29,100,722800000,722.8,1.814,0.136,0.762,20,7,31
398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,2020,2020-21,38,21,68,1.79,55.26,6,30,30,100,320200000,320.2,1.654,0.136,0.74,20,8,30
60,SC Freiburg,L1,bundesliga,Germany,2020,2020-21,34,12,45,1.32,35.29,0,24,24,100,135900000,135.9,1.195,0.125,0.605,18,6,32
252,Genoa CFC,IT1,serie-a,Italy,2020,2020-21,38,10,42,1.11,26.32,-11,34,34,100,104800000,104.8,0.99,0.12,0.74,20,9,33
347,FC Metz,FR1,ligue-1,France,2020,2020-21,38,12,47,1.24,31.58,-4,27,27,100,100850000,100.85,1.157,0.083,0.811,20,6,34
6195,SSC Napoli,IT1,serie-a,Italy,2020,2020-21,38,24,77,2.03,63.16,45,25,25,100,527100000,527.1,1.95,0.08,0.74,20,10,35
131,FC Barcelona,ES1,laliga,Spain,2020,2020-21,38,24,79,2.08,63.16,47,22,22,100,613000000,613,2.002,0.078,0.82,20,7,37
23826,RB Leipzig,L1,bundesliga,Germany,2020,2020-21,34,19,65,1.91,55.88,28,25,25,100,536100000,536.1,1.832,0.078,0.605,18,7,36
1041,Olympique Lyon,FR1,ligue-1,France,2020,2020-21,38,22,76,2,57.89,38,29,28,96.55,404300000,404.3,1.925,0.075,0.811,20,7,38
940,Celta de Vigo,ES1,laliga,Spain,2020,2020-21,38,14,53,1.39,36.84,-2,30,29,96.67,150850000,150.85,1.322,0.068,0.82,20,8,39
331,CA Osasuna,ES1,laliga,Spain,2020,2020-21,38,11,44,1.16,28.95,-11,28,28,100,94700000,94.7,1.096,0.064,0.82,20,9,40
167,FC Augsburg,L1,bundesliga,Germany,2020,2020-21,34,10,36,1.06,29.41,-18,25,25,100,89800000,89.8,1.003,0.057,0.605,18,8,41
1160,Nîmes Olympique,FR1,ligue-1,France,2020,2020-21,38,9,35,0.92,23.68,-31,34,34,100,59600000,59.6,0.866,0.054,0.811,20,8,42
40,FC Girondins Bordeaux,FR1,ligue-1,France,2020,2020-21,38,13,45,1.18,34.21,-14,27,27,100,98100000,98.1,1.141,0.039,0.811,20,9,43
4083,FC Crotone,IT1,serie-a,Italy,2020,2020-21,38,6,23,0.61,15.79,-47,31,31,100,51850000,51.85,0.572,0.038,0.74,20,11,44
762,Newcastle United,GB1,premier-league,England,2020,2020-21,38,12,45,1.18,31.58,-16,27,27,100,241200000,241.2,1.164,0.016,0.762,20,8,45
506,Juventus FC,IT1,serie-a,Italy,2020,2020-21,38,23,78,2.05,60.53,39,30,30,100,617675000,617.68,2.045,0.005,0.74,20,12,46
16795,Granada CF,ES1,laliga,Spain,2020,2020-21,38,13,46,1.21,34.21,-18,34,34,100,119700000,119.7,1.21,0,0.82,20,10,47
276,Hellas Verona,IT1,serie-a,Italy,2020,2020-21,38,11,45,1.18,28.95,-2,32,32,100,146425000,146.43,1.189,-0.009,0.74,20,13,48
1108,Deportivo Alavés,ES1,laliga,Spain,2020,2020-21,38,9,38,1,23.68,-21,30,30,100,79350000,79.35,1.011,-0.011,0.82,20,11,49
5358,SD Huesca,ES1,laliga,Spain,2020,2020-21,38,7,34,0.89,18.42,-19,27,27,100,63700000,63.7,0.904,-0.014,0.82,20,12,50
16,Borussia Dortmund,L1,bundesliga,Germany,2020,2020-21,34,20,64,1.88,58.82,29,26,26,100,621150000,621.15,1.9,-0.02,0.605,18,9,51
405,Aston Villa,GB1,premier-league,England,2020,2020-21,38,16,55,1.45,42.11,9,24,24,100,406000000,406,1.472,-0.022,0.762,20,9,52
79,VfB Stuttgart,L1,bundesliga,Germany,2020,2020-21,34,12,45,1.32,35.29,1,29,29,100,187750000,187.75,1.345,-0.025,0.605,18,10,53
995,FC Nantes,FR1,ligue-1,France,2020,2020-21,38,9,40,1.05,23.68,-8,25,25,100,89350000,89.35,1.09,-0.04,0.811,20,10,54
1420,Angers SCO,FR1,ligue-1,France,2020,2020-21,38,12,44,1.16,31.58,-18,31,31,100,109850000,109.85,1.204,-0.044,0.811,20,11,55
29,Everton FC,GB1,premier-league,England,2020,2020-21,38,17,59,1.55,44.74,-1,29,29,100,501800000,501.8,1.598,-0.048,0.762,20,10,56
11,Arsenal FC,GB1,premier-league,England,2020,2020-21,38,18,61,1.61,47.37,16,29,29,100,565500000,565.5,1.669,-0.059,0.762,20,11,57
366,Real Valladolid CF,ES1,laliga,Spain,2020,2020-21,38,5,31,0.82,13.16,-23,32,32,100,60900000,60.9,0.882,-0.062,0.82,20,13,58
1421,Stade Reims,FR1,ligue-1,France,2020,2020-21,38,9,42,1.11,23.68,-8,29,28,96.55,103800000,103.8,1.173,-0.063,0.811,20,12,59
180,Southampton FC,GB1,premier-league,England,2020,2020-21,38,12,43,1.13,31.58,-21,29,28,96.55,254850000,254.85,1.196,-0.066,0.762,20,12,60
244,Olympique Marseille,FR1,ligue-1,France,2020,2020-21,38,16,60,1.58,42.11,7,31,31,100,247000000,247,1.652,-0.072,0.811,20,13,61
3911,Stade Brestois 29,FR1,ligue-1,France,2020,2020-21,38,11,41,1.08,28.95,-16,26,26,100,100325000,100.33,1.154,-0.074,0.811,20,14,62
12,Associazione Sportiva Roma,IT1,serie-a,Italy,2020,2020-21,38,18,62,1.63,47.37,10,31,31,100,349300000,349.3,1.706,-0.076,0.74,20,14,63
667,RC Strasbourg Alsace,FR1,ligue-1,France,2020,2020-21,38,11,42,1.11,28.95,-9,26,25,96.15,106550000,106.55,1.187,-0.077,0.811,20,15,64
3,1.FC Köln,L1,bundesliga,Germany,2020,2020-21,34,8,33,0.97,23.53,-26,28,28,100,101150000,101.15,1.058,-0.088,0.605,18,11,65
3368,Levante UD,ES1,laliga,Spain,2020,2020-21,38,9,41,1.08,23.68,-11,29,29,100,110600000,110.6,1.172,-0.092,0.82,20,14,66
39,1.FSV Mainz 05,L1,bundesliga,Germany,2020,2020-21,34,10,39,1.15,29.41,-17,31,31,100,153900000,153.9,1.253,-0.103,0.605,18,12,67
1050,Villarreal CF,ES1,laliga,Spain,2020,2020-21,38,15,58,1.53,39.47,16,29,29,100,286300000,286.3,1.633,-0.103,0.82,20,15,68
18,Borussia Mönchengladbach,L1,bundesliga,Germany,2020,2020-21,34,13,49,1.44,38.24,8,23,23,100,295500000,295.5,1.556,-0.116,0.605,18,13,69
148,Tottenham Hotspur,GB1,premier-league,England,2020,2020-21,38,18,62,1.63,47.37,23,24,23,95.83,645000000,645,1.747,-0.117,0.762,20,13,70
1025,Bologna Football Club 1909,IT1,serie-a,Italy,2020,2020-21,38,10,41,1.08,26.32,-14,37,35,94.59,149600000,149.6,1.202,-0.122,0.74,20,15,71
31,Liverpool FC,GB1,premier-league,England,2020,2020-21,38,20,69,1.82,52.63,26,28,28,100,899500000,899.5,1.944,-0.124,0.762,20,14,72
1237,Brighton & Hove Albion,GB1,premier-league,England,2020,2020-21,38,9,41,1.08,23.68,-6,27,27,100,260650000,260.65,1.21,-0.13,0.762,20,15,73
15,Bayer 04 Leverkusen,L1,bundesliga,Germany,2020,2020-21,34,14,52,1.53,41.18,14,30,30,100,372250000,372.25,1.663,-0.133,0.605,18,14,74
631,Chelsea FC,GB1,premier-league,England,2020,2020-21,38,19,67,1.76,50,22,27,27,100,841250000,841.25,1.904,-0.144,0.762,20,16,75
