club_id,club_name,competition_id,competition_name,country_name,seasons_played,matches_played,wins,draws,losses,points_earned,goals_scored,goals_conceded,goal_difference,overall_win_percentage,overall_points_per_match,goals_scored_per_match,goals_conceded_per_match,goal_difference_per_match,points_per_match_standard_deviation,win_percentage_standard_deviation,minimum_season_points_per_match,maximum_season_points_per_match,overall_performance_rank,overall_consistency_rank,league_performance_rank
281,Manchester City,GB1,premier-league,England,5,190,133,31,26,430,444,169,275,70,2.263,2.337,0.889,1.447,0.23,8.45,1.87,2.45,1,36,1
583,Paris Saint-Germain,FR1,ligue-1,France,5,182,127,32,23,413,438,172,266,69.78,2.269,2.407,0.945,1.462,0.116,4.35,2.16,2.47,2,11,1
27,Bayern Munich,L1,bundesliga,Germany,5,170,117,29,24,380,481,196,285,68.82,2.235,2.829,1.153,1.676,0.131,4.46,2.09,2.41,3,13,1
418,Real Madrid,ES1,laliga,Spain,5,190,130,37,23,427,387,159,228,68.42,2.247,2.037,0.837,1.2,0.163,4.92,2.05,2.5,4,18,1
46,Inter Milan,IT1,serie-a,Italy,5,190,129,35,26,422,412,166,246,67.89,2.221,2.168,0.874,1.295,0.228,6.81,1.89,2.47,5,34,1
131,FC Barcelona,ES1,laliga,Spain,5,190,127,32,31,413,404,179,225,66.84,2.174,2.126,0.942,1.184,0.173,7.81,1.92,2.32,6,24,2
31,Liverpool FC,GB1,premier-league,England,5,190,116,46,28,394,409,197,212,61.05,2.074,2.153,1.037,1.116,0.278,9.74,1.76,2.42,7,48,2
13,Atlético de Madrid,ES1,laliga,Spain,5,190,116,38,36,386,340,174,166,61.05,2.032,1.789,0.916,0.874,0.142,5.06,1.87,2.26,8,15,3
11,Arsenal FC,GB1,premier-league,England,5,190,114,35,41,377,364,193,171,60,1.984,1.916,1.016,0.9,0.294,10.91,1.61,2.34,9,52,3
6195,SSC Napoli,IT1,serie-a,Italy,5,190,113,42,35,381,351,175,176,59.47,2.005,1.847,0.921,0.926,0.368,14.84,1.39,2.37,10,59,2
16,Borussia Dortmund,L1,bundesliga,Germany,5,170,99,27,44,324,382,236,146,58.24,1.906,2.247,1.388,0.859,0.161,6.71,1.68,2.09,11,16,2
5,AC Milan,IT1,serie-a,Italy,5,190,110,43,37,373,344,207,137,57.89,1.963,1.811,1.089,0.721,0.229,8.32,1.66,2.26,12,35,3
162,AS Monaco,FR1,ligue-1,France,5,182,101,37,44,340,342,223,119,55.49,1.868,1.879,1.225,0.654,0.139,5.36,1.71,2.05,13,14,2
15,Bayer 04 Leverkusen,L1,bundesliga,Germany,5,170,94,43,33,325,351,202,149,55.29,1.912,2.065,1.188,0.876,0.475,16.82,1.47,2.65,14,62,3
506,Juventus FC,IT1,serie-a,Italy,5,190,102,55,33,361,302,174,128,53.68,1.9,1.589,0.916,0.674,0.088,5.46,1.84,2.05,15,5,4
800,Atalanta BC,IT1,serie-a,Italy,5,190,101,41,48,344,371,222,149,53.16,1.811,1.953,1.168,0.784,0.201,7.3,1.55,2.05,16,29,5
23826,RB Leipzig,L1,bundesliga,Germany,5,170,88,41,41,305,326,197,129,51.76,1.794,1.918,1.159,0.759,0.188,8.21,1.5,1.94,17,27,4
398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,5,190,97,41,52,332,308,231,77,51.05,1.747,1.621,1.216,0.405,0.13,5.13,1.61,1.95,18,12,6
244,Olympique Marseille,FR1,ligue-1,France,5,182,92,43,47,319,310,213,97,50.55,1.753,1.703,1.17,0.533,0.21,9.58,1.47,1.92,19,31,3
1082,LOSC Lille,FR1,ligue-1,France,5,182,90,54,38,324,281,185,96,49.45,1.78,1.544,1.016,0.527,0.26,9.4,1.45,2.18,20,43,4
1041,Olympique Lyon,FR1,ligue-1,France,5,182,90,40,52,310,326,242,84,49.45,1.703,1.791,1.33,0.462,0.173,5.09,1.56,2,21,23,5
12,Associazione Sportiva Roma,IT1,serie-a,Italy,5,190,92,44,54,320,298,220,78,48.42,1.684,1.568,1.158,0.411,0.076,2.35,1.63,1.82,22,2,7
826,RC Lens,FR1,ligue-1,France,5,182,86,48,48,306,272,207,65,47.25,1.681,1.495,1.137,0.357,0.304,10.69,1.5,2.21,23,54,6
631,Chelsea FC,GB1,premier-league,England,5,190,89,50,51,317,313,222,91,46.84,1.668,1.647,1.168,0.479,0.304,10.43,1.16,1.95,24,53,4
985,Manchester United,GB1,premier-league,England,5,190,89,42,59,309,289,256,33,46.84,1.626,1.521,1.347,0.174,0.354,12.26,1.11,1.97,25,58,5
148,Tottenham Hotspur,GB1,premier-league,England,5,190,89,30,71,297,345,274,71,46.84,1.563,1.816,1.442,0.374,0.334,10.91,1,1.87,26,56,6
405,Aston Villa,GB1,premier-league,England,5,190,86,37,67,295,292,258,34,45.26,1.553,1.537,1.358,0.179,0.247,7.3,1.18,1.79,27,41,7
417,OGC Nice,FR1,ligue-1,France,5,182,82,46,54,292,256,196,60,45.05,1.604,1.407,1.077,0.33,0.165,6.02,1.37,1.76,28,20,7
273,Stade Rennais FC,FR1,ligue-1,France,5,182,82,33,67,279,307,215,92,45.05,1.533,1.687,1.181,0.505,0.248,8.82,1.21,1.79,29,42,8
1050,Villarreal CF,ES1,laliga,Spain,5,190,84,52,54,304,318,237,81,44.21,1.6,1.674,1.247,0.426,0.17,6.81,1.39,1.84,30,22,4
681,Real Sociedad,ES1,laliga,Spain,5,190,84,49,57,301,236,195,41,44.21,1.584,1.242,1.026,0.216,0.238,7.53,1.21,1.87,31,40,5
150,Real Betis Balompié,ES1,laliga,Spain,5,190,83,54,53,303,263,226,37,43.68,1.595,1.384,1.189,0.195,0.076,4.78,1.5,1.71,32,3,6
762,Newcastle United,GB1,premier-league,England,5,190,82,45,63,291,311,266,45,43.16,1.532,1.637,1.4,0.237,0.293,9.6,1.18,1.87,33,51,8
60,SC Freiburg,L1,bundesliga,Germany,5,170,71,43,56,256,255,253,2,41.76,1.506,1.5,1.488,0.012,0.216,7.62,1.24,1.74,34,32,5
430,ACF Fiorentina,IT1,serie-a,Italy,5,190,79,46,65,283,280,240,40,41.58,1.489,1.474,1.263,0.211,0.26,10.92,1.05,1.71,35,44,8
621,Athletic Bilbao,ES1,laliga,Spain,5,190,77,59,54,290,251,187,64,40.53,1.526,1.321,0.984,0.337,0.278,9.23,1.21,1.84,36,47,7
368,Sevilla FC,ES1,laliga,Spain,5,190,75,53,62,278,243,226,17,39.47,1.463,1.279,1.189,0.089,0.444,15.79,1.08,2.03,37,61,8
24,Eintracht Frankfurt,L1,bundesliga,Germany,5,170,67,58,45,259,291,250,41,39.41,1.524,1.712,1.471,0.241,0.232,8.97,1.24,1.76,38,37,6
89,1.FC Union Berlin,L1,bundesliga,Germany,5,170,65,47,58,242,219,234,-15,38.24,1.424,1.288,1.376,-0.088,0.35,11.39,0.97,1.82,39,57,7
379,West Ham United,GB1,premier-league,England,5,190,71,43,76,256,270,289,-19,37.37,1.347,1.421,1.521,-0.1,0.266,9,1.05,1.71,40,45,9
79,VfB Stuttgart,L1,bundesliga,Germany,5,170,63,45,62,234,284,263,21,37.06,1.376,1.671,1.547,0.124,0.485,19.35,0.97,2.15,41,63,8
82,VfL Wolfsburg,L1,bundesliga,Germany,5,170,63,43,64,232,258,249,9,37.06,1.365,1.518,1.465,0.053,0.269,7.95,1.09,1.79,42,46,9
1025,Bologna Football Club 1909,IT1,serie-a,Italy,5,190,70,61,59,271,259,248,11,36.84,1.426,1.363,1.305,0.058,0.292,8.32,1.08,1.79,43,50,9
3911,Stade Brestois 29,FR1,ligue-1,France,5,182,67,43,72,244,248,270,-22,36.81,1.341,1.363,1.484,-0.121,0.285,9.44,1.08,1.79,44,49,9
1237,Brighton & Hove Albion,GB1,premier-league,England,5,190,67,62,61,263,275,264,11,35.26,1.384,1.447,1.389,0.058,0.235,9.42,1.08,1.63,45,39,10
667,RC Strasbourg Alsace,FR1,ligue-1,France,5,182,63,52,67,241,254,254,0,34.62,1.324,1.396,1.396,0,0.312,10.44,1.05,1.68,46,55,10
940,Celta de Vigo,ES1,laliga,Spain,5,190,63,49,78,238,246,267,-21,33.16,1.253,1.295,1.405,-0.111,0.162,6.34,1.08,1.45,47,17,9
543,Wolverhampton Wanderers,GB1,premier-league,England,5,190,63,36,91,225,209,287,-78,33.16,1.184,1.1,1.511,-0.411,0.102,3.99,1.08,1.34,48,8,11
39,1.FSV Mainz 05,L1,bundesliga,Germany,5,170,56,50,64,218,237,250,-13,32.94,1.282,1.394,1.471,-0.076,0.195,8.16,1.03,1.53,49,28,10
18,Borussia Mönchengladbach,L1,bundesliga,Germany,5,170,56,48,66,216,281,296,-15,32.94,1.271,1.653,1.741,-0.088,0.163,7.32,1,1.44,50,19,11
331,CA Osasuna,ES1,laliga,Spain,5,190,62,55,73,241,204,249,-45,32.63,1.268,1.074,1.311,-0.237,0.107,3.99,1.16,1.39,51,9,10
533,TSG 1899 Hoffenheim,L1,bundesliga,Germany,5,170,54,41,75,203,270,305,-35,31.76,1.194,1.588,1.794,-0.206,0.184,7.32,0.94,1.35,52,26,12
873,Crystal Palace,GB1,premier-league,England,5,190,60,59,71,239,239,270,-31,31.58,1.258,1.258,1.421,-0.163,0.092,2.63,1.16,1.39,53,6,12
29,Everton FC,GB1,premier-league,England,5,190,60,50,80,230,206,266,-60,31.58,1.211,1.084,1.4,-0.316,0.235,8.73,0.95,1.55,54,38,13
969,Montpellier HSC,FR1,ligue-1,France,5,182,55,40,87,205,240,312,-72,30.22,1.126,1.319,1.714,-0.396,0.376,10.86,0.47,1.42,55,60,11
416,Torino FC,IT1,serie-a,Italy,5,190,57,66,67,237,213,232,-19,30,1.247,1.121,1.221,-0.1,0.181,7.58,0.97,1.39,56,25,10
1049,Valencia CF,ES1,laliga,Spain,5,190,56,60,74,228,224,250,-26,29.47,1.2,1.179,1.316,-0.137,0.079,2.88,1.11,1.29,57,4,11
167,FC Augsburg,L1,bundesliga,Germany,5,170,50,40,80,190,202,284,-82,29.41,1.118,1.188,1.671,-0.482,0.098,2.08,1,1.26,58,7,13
1421,Stade Reims,FR1,ligue-1,France,5,182,53,60,69,219,205,233,-28,29.12,1.203,1.126,1.28,-0.154,0.168,6.13,0.97,1.38,59,21,12
276,Hellas Verona,IT1,serie-a,Italy,5,190,51,51,88,204,214,283,-69,26.84,1.074,1.126,1.489,-0.363,0.219,6.81,0.82,1.39,60,33,11
995,FC Nantes,FR1,ligue-1,France,5,182,48,56,78,200,208,265,-57,26.37,1.099,1.143,1.456,-0.313,0.204,7.91,0.95,1.45,61,30,13
410,Udinese Calcio,IT1,serie-a,Italy,5,190,50,64,76,214,228,273,-45,26.32,1.126,1.2,1.437,-0.237,0.113,6.17,0.97,1.24,62,10,12
3709,Getafe CF,ES1,laliga,Spain,5,190,48,60,82,204,171,222,-51,25.26,1.074,0.9,1.168,-0.268,0.057,3,1,1.13,63,1,12
