player_id,player_name,position,sub_position,country_of_citizenship,club_id,club_name,competition_id,competition_name,country_name,season,season_label,age_at_season_end,appearances,minutes_played,goals,assists,goal_contributions,goals_per_90,assists_per_90,goal_contributions_per_90,club_matches,club_points_per_match,availability_percentage,productivity_percentile,availability_percentile,productivity_percentile_score,availability_percentile_score,productivity_availability_score,combined_position_league_season_rank,combined_league_season_rank,combined_overall_rank
198008,André Silva,Attack,Centre-Forward,Portugal,24,Eintracht Frankfurt,L1,bundesliga,Germany,2020,2020-21,25,32,2773,28,8,36,0.909,0.26,1.168,34,1.76,90.62,0.928571429,0.928571429,92.86,92.86,92.86,1,1,42
28003,Lionel Messi,Attack,Right Winger,Argentina,131,FC Barcelona,ES1,laliga,Spain,2020,2020-21,34,35,3023,30,11,41,0.893,0.327,1.221,38,2.08,88.39,1,0.954545455,100,95.45,97.73,1,1,6
255901,Rodrigo De Paul,Midfield,Central Midfield,Argentina,410,Udinese Calcio,IT1,serie-a,Italy,2020,2020-21,27,36,3203,9,10,19,0.253,0.281,0.534,38,1.05,93.65,0.924242424,0.96969697,92.42,96.97,94.7,1,1,25
318523,Romain Perraud,Defender,Left-Back,France,3911,Stade Brestois 29,FR1,ligue-1,France,2020,2020-21,23,36,3140,3,7,10,0.086,0.201,0.287,38,1.08,91.81,0.986842105,0.894736842,98.68,89.47,94.08,1,1,34
158764,Stuart Dallas,Defender,Right-Back,Northern Ireland,399,Leeds United,GB1,premier-league,England,2020,2020-21,30,38,3411,8,2,10,0.211,0.053,0.264,38,1.55,99.74,0.974358974,1,97.44,100,98.72,1,1,3
294808,Franck Kessié,Midfield,Central Midfield,Cote d'Ivoire,5,AC Milan,IT1,serie-a,Italy,2020,2020-21,24,37,3230,13,6,19,0.362,0.167,0.529,38,2.08,94.44,0.909090909,0.984848485,90.91,98.48,94.7,2,2,26
132098,Harry Kane,Attack,Centre-Forward,England,148,Tottenham Hotspur,GB1,premier-league,England,2020,2020-21,27,35,3086,23,14,37,0.671,0.408,1.079,38,1.63,90.23,1,0.953488372,100,95.35,97.67,1,2,7
82009,Kevin Volland,Midfield,Attacking Midfield,Germany,162,AS Monaco,FR1,ligue-1,France,2020,2020-21,28,35,2794,16,8,24,0.515,0.258,0.773,38,2.05,81.7,1,0.824561404,100,82.46,91.23,1,2,72
282411,Marcos Llorente,Defender,Right-Back,Spain,13,Atlético de Madrid,ES1,laliga,Spain,2020,2020-21,26,37,2961,12,11,23,0.365,0.334,0.699,38,2.26,86.58,1,0.873239437,100,87.32,93.66,1,2,37
196231,Marvin Friedrich,Defender,Centre-Back,Germany,89,1.FC Union Berlin,L1,bundesliga,Germany,2020,2020-21,25,34,3060,5,2,7,0.147,0.059,0.206,34,1.47,100,0.862745098,0.960784314,86.27,96.08,91.18,1,2,74
