player_id,player_name,position,sub_position,country_of_citizenship,qualified_seasons,first_qualified_season,last_qualified_season,qualified_season_labels,total_minutes,total_goals,total_assists,total_goal_contributions,average_goals_per_90,average_assists_per_90,average_goal_contributions_per_90,contributions_per_90_standard_deviation,minimum_contributions_per_90,maximum_contributions_per_90,sustained_position_rank,sustained_overall_rank,sustained_performance_profile
342229,Kylian Mbappé,Attack,Centre-Forward,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",13317,142,42,184,0.971,0.281,1.252,0.165,1.049,1.417,1,1,High productivity
418560,Erling Haaland,Attack,Centre-Forward,Norway,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",12403,134,31,165,0.976,0.235,1.211,0.256,0.82,1.426,2,2,High productivity
119228,Luis Muriel,Attack,Centre-Forward,Colombia,3,2020,2022,"2020-21, 2021-22, 2022-23",4048,34,22,56,0.719,0.475,1.194,0.689,0.589,1.944,3,3,High productivity
38253,Robert Lewandowski,Attack,Centre-Forward,Poland,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",13708,145,28,173,0.963,0.185,1.149,0.358,0.881,1.754,4,4,High productivity
68290,Neymar,Midfield,Attacking Midfield,Brazil,3,2020,2022,"2020-21, 2021-22, 2022-23",4829,35,23,58,0.652,0.436,1.088,0.264,0.919,1.392,1,5,High productivity
132098,Harry Kane,Attack,Centre-Forward,England,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",14960,132,44,176,0.811,0.273,1.084,0.293,0.724,1.393,5,6,High productivity
28003,Lionel Messi,Attack,Right Winger,Argentina,3,2020,2022,"2020-21, 2021-22, 2022-23",8017,52,42,94,0.55,0.487,1.037,0.173,0.878,1.221,6,7,High productivity
148455,Mohamed Salah,Attack,Right Winger,Egypt,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",15057,111,59,170,0.664,0.353,1.017,0.208,0.788,1.251,7,8,High productivity
146854,Wissam Ben Yedder,Attack,Centre-Forward,France,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",9619,80,21,101,0.749,0.196,0.944,0.171,0.698,1.062,8,9,High productivity
177843,Domenico Berardi,Attack,Right Winger,Italy,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",8630,53,35,88,0.558,0.339,0.897,0.109,0.752,1.016,9,10,High productivity and high consistency
406625,Lautaro Martínez,Attack,Centre-Forward,Argentina,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",12695,95,31,126,0.676,0.217,0.893,0.17,0.593,1.012,10,11,High productivity
401923,Victor Osimhen,Attack,Centre-Forward,Nigeria,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",8136,65,16,81,0.698,0.177,0.874,0.146,0.744,1.081,11,12,High productivity and high consistency
371998,Vinicius Junior,Attack,Left Winger,Brazil,4,2021,2024,"2021-22, 2022-23, 2023-24, 2024-25",9666,53,39,92,0.511,0.36,0.87,0.175,0.635,1.008,12,13,High productivity
288230,Ousmane Dembélé,Attack,Centre-Forward,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",7851,36,40,76,0.391,0.476,0.866,0.39,0.455,1.503,13,14,High productivity
159471,Serge Gnabry,Attack,Second Striker,Germany,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",7021,45,22,67,0.57,0.29,0.86,0.052,0.816,0.927,14,15,High productivity and high consistency
368887,Loïs Openda,Attack,Centre-Forward,Belgium,3,2022,2024,"2022-23, 2023-24, 2024-25",7712,54,20,74,0.623,0.234,0.858,0.187,0.657,1.027,15,16,High productivity
88755,Kevin De Bruyne,Midfield,Attacking Midfield,Belgium,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9565,36,55,91,0.329,0.527,0.857,0.172,0.581,1.026,2,17,High productivity
708265,Bradley Barcola,Attack,Left Winger,France,3,2022,2024,"2022-23, 2023-24, 2024-25",5277,23,27,50,0.369,0.466,0.835,0.216,0.601,1.026,16,18,High productivity
340950,Diogo Jota,Attack,Left Winger,Portugal,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",6965,47,17,64,0.617,0.216,0.834,0.116,0.728,1.017,17,19,High productivity and high consistency
344381,Christopher Nkunku,Attack,Centre-Forward,France,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",7434,45,30,75,0.5,0.328,0.828,0.32,0.495,1.153,18,20,High productivity
58358,Thomas Müller,Attack,Second Striker,Germany,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9815,32,65,97,0.274,0.552,0.825,0.277,0.369,1.073,19,21,High productivity
177467,Gerard Moreno,Attack,Centre-Forward,Spain,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",7383,49,19,68,0.589,0.229,0.819,0.168,0.633,1.007,20,22,High productivity
242086,Patrik Schick,Attack,Centre-Forward,Czech Republic,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",7653,64,11,75,0.693,0.126,0.819,0.382,0.383,1.245,21,23,High productivity
123682,Callum Wilson,Attack,Centre-Forward,England,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",6346,47,11,58,0.679,0.136,0.816,0.248,0.518,1.097,22,24,High productivity
131789,Roberto Firmino,Attack,Centre-Forward,Brazil,3,2020,2022,"2020-21, 2021-22, 2022-23",5049,25,15,40,0.519,0.294,0.814,0.305,0.505,1.114,23,25,High productivity
566723,Michael Olise,Attack,Right Winger,France,4,2021,2024,"2021-22, 2022-23, 2023-24, 2024-25",7516,26,40,66,0.347,0.467,0.814,0.378,0.425,1.15,24,26,High productivity
580195,Jamal Musiala,Midfield,Attacking Midfield,Germany,4,2021,2024,"2021-22, 2022-23, 2023-24, 2024-25",7239,39,28,67,0.476,0.336,0.812,0.164,0.618,1.018,3,27,High productivity
270541,Serhou Guirassy,Attack,Centre-Forward,Guinea,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9255,79,7,86,0.755,0.054,0.81,0.265,0.561,1.22,25,28,High productivity
48298,Lars Stindl,Midfield,Attacking Midfield,Germany,3,2020,2022,"2020-21, 2021-22, 2022-23",5345,26,22,48,0.424,0.365,0.789,0.302,0.495,1.098,4,29,High productivity
171424,Riyad Mahrez,Attack,Right Winger,Algeria,3,2020,2022,"2020-21, 2021-22, 2022-23",5370,25,21,46,0.437,0.349,0.786,0.156,0.691,0.966,26,30,High productivity
35207,Marco Reus,Midfield,Attacking Midfield,Germany,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",7770,29,39,68,0.343,0.442,0.785,0.124,0.628,0.931,5,31,High productivity and high consistency
82442,Olivier Giroud,Attack,Centre-Forward,France,3,2021,2023,"2021-22, 2022-23, 2023-24",6418,39,17,56,0.545,0.234,0.779,0.084,0.71,0.873,27,32,High productivity and high consistency
709726,Hugo Ekitiké,Attack,Centre-Forward,France,3,2021,2024,"2021-22, 2022-23, 2024-25",5013,28,16,44,0.487,0.291,0.778,0.222,0.545,0.987,28,33,High productivity
295330,Kelechi Iheanacho,Attack,Centre-Forward,Nigeria,3,2020,2022,"2020-21, 2021-22, 2022-23",3838,21,12,33,0.476,0.294,0.77,0.115,0.643,0.865,29,34,High productivity and high consistency
192565,Leroy Sané,Attack,Right Winger,Germany,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9566,40,41,81,0.384,0.385,0.768,0.119,0.636,0.936,30,35,High productivity and high consistency
93720,Alexandre Lacazette,Attack,Centre-Forward,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",11017,78,19,97,0.607,0.161,0.767,0.162,0.554,0.981,31,36,High productivity
335457,Ermedin Demirovic,Attack,Centre-Forward,Bosnia-Herzegovina,4,2020,2024,"2020-21, 2022-23, 2023-24, 2024-25",8627,43,28,71,0.449,0.308,0.758,0.16,0.529,0.896,32,37,High productivity
198008,André Silva,Attack,Centre-Forward,Portugal,3,2020,2022,"2020-21, 2021-22, 2022-23",6594,43,17,60,0.531,0.228,0.758,0.381,0.414,1.168,33,38,High productivity
91845,Heung-min Son,Attack,Left Winger,"Korea, South",5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",14112,74,45,119,0.46,0.294,0.755,0.167,0.497,0.953,34,39,High productivity
206050,Paulo Dybala,Attack,Second Striker,Argentina,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",8350,45,27,72,0.468,0.283,0.752,0.221,0.556,1.003,35,40,High productivity
96341,Romelu Lukaku,Attack,Centre-Forward,Belgium,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",11652,69,30,99,0.525,0.222,0.747,0.228,0.511,1.06,36,41,Moderate sustained performance
105521,Ciro Immobile,Attack,Centre-Forward,Italy,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",9460,66,16,82,0.597,0.144,0.742,0.24,0.435,0.994,37,42,Moderate sustained performance
128223,Álvaro Morata,Attack,Centre-Forward,Spain,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9249,53,24,77,0.514,0.217,0.731,0.187,0.489,0.937,38,43,Moderate sustained performance
7161,Jonas Hofmann,Midfield,Attacking Midfield,Germany,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",8815,35,36,71,0.355,0.375,0.729,0.094,0.609,0.838,6,44,High consistency
398184,Ferran Torres,Attack,Centre-Forward,Spain,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",6717,34,18,52,0.479,0.249,0.728,0.348,0.391,1.308,39,45,Moderate sustained performance
349066,Alexander Isak,Attack,Centre-Forward,Sweden,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",11233,78,14,92,0.614,0.108,0.722,0.243,0.334,0.941,40,46,Moderate sustained performance
357498,Dušan Vlahović,Attack,Centre-Forward,Serbia,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",11907,81,16,97,0.594,0.125,0.719,0.117,0.559,0.888,41,47,High consistency
598577,Florian Wirtz,Midfield,Attacking Midfield,Germany,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9923,34,47,81,0.284,0.434,0.718,0.196,0.444,0.879,7,48,Moderate sustained performance
357164,Rafael Leão,Attack,Left Winger,Portugal,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",11838,49,46,95,0.369,0.347,0.716,0.133,0.559,0.926,42,49,High consistency
502670,Khvicha Kvaratskhelia,Attack,Left Winger,Georgia,3,2022,2024,"2022-23, 2023-24, 2024-25",7399,32,27,59,0.39,0.326,0.716,0.148,0.621,0.886,43,50,High consistency
442891,Martin Terrier,Attack,Left Winger,France,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",8126,46,18,64,0.506,0.208,0.714,0.15,0.586,0.88,44,51,High consistency
411295,Raphinha,Attack,Left Winger,Brazil,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",11994,49,42,91,0.366,0.344,0.711,0.244,0.431,0.985,45,52,Moderate sustained performance
659542,Elye Wahi,Attack,Centre-Forward,Cote d'Ivoire,3,2021,2023,"2021-22, 2022-23, 2023-24",6013,38,11,49,0.553,0.157,0.71,0.155,0.612,0.889,46,53,Moderate sustained performance
46580,Andrej Kramaric,Attack,Second Striker,Croatia,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",12477,64,33,97,0.474,0.235,0.709,0.198,0.531,0.981,47,54,Moderate sustained performance
546543,Darwin Núñez,Attack,Centre-Forward,Uruguay,3,2022,2024,"2022-23, 2023-24, 2024-25",4861,25,14,39,0.455,0.251,0.705,0.113,0.636,0.836,48,55,High consistency
326029,Donyell Malen,Attack,Centre-Forward,Netherlands,4,2021,2024,"2021-22, 2022-23, 2023-24, 2024-25",6112,33,16,49,0.496,0.209,0.705,0.134,0.585,0.835,49,56,High consistency
238407,Alexander Sørloth,Attack,Centre-Forward,Norway,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9647,64,13,77,0.59,0.114,0.705,0.44,0.205,1.268,50,57,Moderate sustained performance
776890,Nicolas Jackson,Attack,Centre-Forward,Senegal,3,2022,2024,"2022-23, 2023-24, 2024-25",6652,36,14,50,0.508,0.195,0.704,0.169,0.603,0.899,51,58,Moderate sustained performance
318528,Marcus Thuram,Attack,Centre-Forward,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",10215,51,34,85,0.428,0.275,0.704,0.195,0.378,0.864,52,59,Moderate sustained performance
122797,Andy Delort,Attack,Centre-Forward,Algeria,3,2020,2022,"2020-21, 2021-22, 2022-23",6458,39,14,53,0.523,0.177,0.701,0.2,0.504,0.903,53,60,Moderate sustained performance
266807,Ángel Correa,Attack,Second Striker,Argentina,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",7241,39,17,56,0.502,0.196,0.698,0.087,0.635,0.824,54,61,High consistency
487969,Randal Kolo Muani,Attack,Centre-Forward,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",11580,53,34,87,0.436,0.26,0.696,0.199,0.503,0.986,55,62,Moderate sustained performance
243714,Kingsley Coman,Attack,Left Winger,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",6953,27,28,55,0.35,0.342,0.692,0.178,0.481,0.888,56,63,Moderate sustained performance
58864,Pierre-Emerick Aubameyang,Attack,Centre-Forward,Gabon,3,2020,2023,"2020-21, 2021-22, 2023-24",7097,42,13,55,0.533,0.158,0.692,0.179,0.501,0.856,57,64,Moderate sustained performance
406635,Phil Foden,Midfield,Attacking Midfield,England,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",10242,55,25,80,0.474,0.217,0.691,0.163,0.455,0.846,8,65,Moderate sustained performance
72047,Iago Aspas,Attack,Centre-Forward,Spain,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",13293,63,38,101,0.431,0.259,0.69,0.133,0.502,0.846,58,66,High consistency
315867,Gianluca Scamacca,Attack,Centre-Forward,Italy,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",5890,39,8,47,0.558,0.126,0.684,0.335,0.291,1.11,59,67,Moderate sustained performance
406040,Ademola Lookman,Attack,Left Winger,Nigeria,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",10111,49,25,74,0.459,0.225,0.684,0.354,0.261,1.091,60,68,Moderate sustained performance
576024,Julián Alvarez,Attack,Centre-Forward,Argentina,3,2022,2024,"2022-23, 2023-24, 2024-25",6632,37,14,51,0.512,0.17,0.682,0.066,0.619,0.75,61,69,High consistency
353399,Romain Del Castillo,Attack,Right Winger,France,4,2021,2024,"2021-22, 2022-23, 2023-24, 2024-25",6219,20,26,46,0.273,0.409,0.682,0.108,0.571,0.818,62,70,High consistency
82009,Kevin Volland,Midfield,Attacking Midfield,Germany,3,2020,2023,"2020-21, 2021-22, 2023-24",6589,28,24,52,0.349,0.332,0.681,0.128,0.535,0.773,9,71,High consistency
533738,Jonathan David,Attack,Centre-Forward,Canada,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",13560,87,16,103,0.573,0.108,0.681,0.134,0.48,0.793,63,72,High consistency
294057,James Maddison,Midfield,Attacking Midfield,England,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",11029,43,40,83,0.351,0.328,0.679,0.094,0.543,0.793,10,73,High consistency
363205,Gabriel Jesus,Attack,Centre-Forward,Brazil,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",7495,32,25,57,0.374,0.303,0.678,0.14,0.546,0.815,64,74,High consistency
125781,Antoine Griezmann,Attack,Second Striker,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",12587,55,43,98,0.378,0.299,0.677,0.24,0.365,1.007,65,75,Moderate sustained performance
295313,Taiwo Awoniyi,Attack,Centre-Forward,Nigeria,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",6025,36,9,45,0.524,0.151,0.675,0.105,0.527,0.774,66,76,High consistency
434675,Cody Gakpo,Attack,Left Winger,Netherlands,3,2022,2024,"2022-23, 2023-24, 2024-25",5049,25,13,38,0.444,0.23,0.674,0.052,0.614,0.711,67,77,High consistency
