club_id,club_name,competition_id,competition_name,country_name,valued_players,player_season_records,net_market_value_change_eur,gross_positive_growth_eur,gross_market_value_decline_eur,median_player_value_change_eur,high_growth_player_seasons,distinct_high_growth_players,total_high_growth_value_created_eur,club_net_growth_rank,club_gross_growth_rank,high_growth_player_development_rank
1237,Brighton & Hove Albion,GB1,premier-league,England,63,130,330625000,437450000,106825000,0,14,14,276000000,1,3,1
24,Eintracht Frankfurt,L1,bundesliga,Germany,66,122,231850000,322150000,90300000,0,8,8,196000000,2,11,7
1082,LOSC Lille,FR1,ligue-1,France,60,113,222000000,286550000,64550000,0,7,7,118000000,3,15,13
79,VfB Stuttgart,L1,bundesliga,Germany,73,134,199025000,295725000,96700000,0,12,12,178000000,4,13,2
1025,Bologna Football Club 1909,IT1,serie-a,Italy,75,130,190425000,263425000,73000000,0,5,5,96000000,5,21,28
11,Arsenal FC,GB1,premier-league,England,46,110,176800000,540800000,364000000,0,8,7,256300000,6,1,10
405,Aston Villa,GB1,premier-league,England,52,115,172350000,352250000,179900000,0,12,10,196800000,7,8,4
15,Bayer 04 Leverkusen,L1,bundesliga,Germany,55,124,163550000,326750000,163200000,0,6,6,121000000,8,10,20
162,AS Monaco,FR1,ligue-1,France,61,134,145850000,292700000,146850000,0,9,7,128000000,9,14,12
39,1.FSV Mainz 05,L1,bundesliga,Germany,59,122,130600000,186450000,55850000,0,6,5,91000000,10,32,29
826,RC Lens,FR1,ligue-1,France,63,116,127050000,168350000,41300000,0,3,3,46000000,11,42,49
667,RC Strasbourg Alsace,FR1,ligue-1,France,70,123,122900000,158150000,35250000,0,6,6,74000000,12,43,25
989,AFC Bournemouth,GB1,premier-league,England,44,78,119450000,153300000,33850000,0,4,4,65000000,13,45,40
703,Nottingham Forest,GB1,premier-league,England,54,77,107300000,179000000,71700000,0,4,4,83500000,14,39,38
5,AC Milan,IT1,serie-a,Italy,58,115,107175000,276075000,168900000,0,7,7,128000000,15,18,12
1148,Brentford FC,GB1,premier-league,England,43,87,103600000,156200000,52600000,0,2,2,20000000,16,44,67
1041,Olympique Lyon,FR1,ligue-1,France,63,109,100750000,226000000,125250000,0,7,6,94500000,17,25,23
415,FC Toulouse,FR1,ligue-1,France,47,72,100750000,108050000,7300000,300000,1,1,16000000,18,63,71
1421,Stade Reims,FR1,ligue-1,France,75,127,96475000,134475000,38000000,0,2,2,48500000,19,56,55
410,Udinese Calcio,IT1,serie-a,Italy,77,137,91150000,146800000,55650000,0,3,3,35000000,20,46,52
418,Real Madrid,ES1,laliga,Spain,47,108,90950000,431450000,340500000,0,6,6,157000000,21,4,18
621,Athletic Bilbao,ES1,laliga,Spain,41,106,90750000,184550000,93800000,0,9,7,128000000,22,35,12
800,Atalanta BC,IT1,serie-a,Italy,61,113,86450000,249050000,162600000,0,6,6,104000000,23,23,22
12321,Girona FC,ES1,laliga,Spain,46,69,84450000,141600000,57150000,0,5,5,83000000,24,51,30
873,Crystal Palace,GB1,premier-league,England,54,118,83300000,215000000,131700000,0,8,7,112000000,25,29,14
762,Newcastle United,GB1,premier-league,England,47,126,79400000,255100000,175700000,0,8,8,159500000,26,22,8
1050,Villarreal CF,ES1,laliga,Spain,59,116,73600000,219300000,145700000,0,11,10,160500000,27,27,5
417,OGC Nice,FR1,ligue-1,France,69,122,72400000,180350000,107950000,0,5,5,74000000,28,38,33
931,Fulham FC,GB1,premier-league,England,52,95,72150000,141700000,69550000,0,2,2,26000000,29,50,61
276,Hellas Verona,IT1,serie-a,Italy,84,122,67750000,107450000,39700000,0,0,0,0,30,64,78
273,Stade Rennais FC,FR1,ligue-1,France,71,116,66750000,181050000,114300000,0,4,3,47000000,31,37,48
399,Leeds United,GB1,premier-league,England,42,70,66200000,121800000,55600000,0,3,3,36000000,32,59,51
3911,Stade Brestois 29,FR1,ligue-1,France,58,101,62850000,82850000,20000000,200000,0,0,0,33,70,78
60,SC Freiburg,L1,bundesliga,Germany,52,118,60450000,144650000,84200000,0,1,1,20000000,34,48,69
969,Montpellier HSC,FR1,ligue-1,France,62,111,55600000,82150000,26550000,0,1,1,21000000,35,72,68
1158,FC Lorient,FR1,ligue-1,France,65,108,51850000,81500000,29650000,0,1,1,11000000,36,73,76
749,FC Empoli,IT1,serie-a,Italy,60,91,49750000,76300000,26550000,0,1,1,13500000,37,77,73
