player_id,player_name,position,sub_position,country_of_citizenship,age_at_season_end,previous_season_label,current_season_label,previous_clubs,current_clubs,previous_minutes_played,current_minutes_played,minutes_change,previous_goal_contributions_per_90,current_goal_contributions_per_90,goal_contributions_per_90_change,previous_ending_market_value_eur,current_ending_market_value_eur,market_value_change_eur,market_value_percentage_change,value_and_performance_growth_rank
487969,Randal Kolo Muani,Attack,Centre-Forward,France,24,2021-22,2022-23,FC Nantes,Eintracht Frankfurt,2958,2647,-311,0.517,0.986,0.469,16000000,80000000,64000000,400,1
581678,Jude Bellingham,Midfield,Attacking Midfield,England,21,2022-23,2023-24,Borussia Dortmund,Real Madrid,2692,2324,-368,0.435,0.968,0.533,120000000,180000000,60000000,50,2
914562,Désiré Doué,Attack,Right Winger,France,20,2023-24,2024-25,Stade Rennais FC,Paris Saint-Germain,1624,1732,108,0.499,0.727,0.228,30000000,90000000,60000000,200,3
401923,Victor Osimhen,Attack,Centre-Forward,Nigeria,24,2021-22,2022-23,SSC Napoli,SSC Napoli,1993,2581,588,0.858,1.081,0.223,65000000,120000000,55000000,84.62,4
433177,Bukayo Saka,Attack,Right Winger,England,21,2021-22,2022-23,Arsenal FC,Arsenal FC,2994,3194,200,0.541,0.704,0.163,65000000,120000000,55000000,84.62,5
445939,Omar Marmoush,Attack,Centre-Forward,Egypt,26,2023-24,2024-25,Eintracht Frankfurt,"Eintracht Frankfurt, Manchester City",2313,2639,326,0.7,1.16,0.46,22000000,75000000,53000000,240.91,6
534033,Alexis Mac Allister,Midfield,Central Midfield,Argentina,24,2021-22,2022-23,Brighton & Hove Albion,Brighton & Hove Albion,2115,2886,771,0.298,0.374,0.076,16000000,65000000,49000000,306.25,7
580195,Jamal Musiala,Midfield,Attacking Midfield,Germany,20,2021-22,2022-23,Bayern Munich,Bayern Munich,1456,2211,755,0.618,1.018,0.4,65000000,110000000,45000000,69.23,8
316264,Martin Ødegaard,Midfield,Attacking Midfield,Norway,24,2021-22,2022-23,Arsenal FC,Arsenal FC,2793,3150,357,0.354,0.657,0.303,45000000,90000000,45000000,100,9
598577,Florian Wirtz,Midfield,Attacking Midfield,Germany,21,2022-23,2023-24,Bayer 04 Leverkusen,Bayer 04 Leverkusen,1091,2384,1293,0.577,0.868,0.291,85000000,130000000,45000000,52.94,10
357498,Dušan Vlahović,Attack,Centre-Forward,Serbia,22,2020-21,2021-22,ACF Fiorentina,"ACF Fiorentina, Juventus FC",2932,2940,8,0.706,0.888,0.182,40000000,85000000,45000000,112.5,11
357164,Rafael Leão,Attack,Left Winger,Portugal,23,2020-21,2021-22,AC Milan,AC Milan,1932,2621,689,0.559,0.721,0.162,25000000,70000000,45000000,180,12
349066,Alexander Isak,Attack,Centre-Forward,Sweden,25,2023-24,2024-25,Newcastle United,Newcastle United,2266,2774,508,0.914,0.941,0.027,75000000,120000000,45000000,60,13
566723,Michael Olise,Attack,Right Winger,France,23,2023-24,2024-25,Crystal Palace,Bayern Munich,1278,2347,1069,1.127,1.15,0.023,55000000,100000000,45000000,81.82,14
349066,Alexander Isak,Attack,Centre-Forward,Sweden,23,2021-22,2022-23,Real Sociedad,"Newcastle United, Real Sociedad",2157,1680,-477,0.334,0.696,0.362,30000000,70000000,40000000,133.33,15
412363,Rodrygo,Attack,Right Winger,Brazil,22,2021-22,2022-23,Real Madrid,Real Madrid,1552,2381,829,0.522,0.68,0.158,60000000,100000000,40000000,66.67,16
581678,Jude Bellingham,Midfield,Attacking Midfield,England,20,2021-22,2022-23,Borussia Dortmund,Borussia Dortmund,2795,2692,-103,0.354,0.435,0.081,80000000,120000000,40000000,50,17
655488,Gabriel Martinelli,Attack,Left Winger,Brazil,22,2021-22,2022-23,Arsenal FC,Arsenal FC,1867,2805,938,0.578,0.642,0.064,40000000,80000000,40000000,100,18
406635,Phil Foden,Midfield,Attacking Midfield,England,24,2022-23,2023-24,Manchester City,Manchester City,1842,2871,1029,0.782,0.846,0.064,110000000,150000000,40000000,36.36,18
478573,Ryan Gravenberch,Midfield,Defensive Midfield,Netherlands,23,2023-24,2024-25,"Bayern Munich, Liverpool FC",Liverpool FC,1130,3169,2039,0.08,0.114,0.034,35000000,75000000,40000000,114.29,19
810092,Warren Zaïre-Emery,Midfield,Central Midfield,France,18,2022-23,2023-24,Paris Saint-Germain,Paris Saint-Germain,917,1962,1045,0.196,0.229,0.033,20000000,60000000,40000000,200,20
344381,Christopher Nkunku,Attack,Centre-Forward,France,24,2020-21,2021-22,RB Leipzig,RB Leipzig,1894,2733,839,0.618,1.153,0.535,43000000,80000000,37000000,86.05,21
