player_id,player_name,age,position,sub_position,club_name,competition_name,country_name,minutes_played,market_value_in_eur,value_percentile_within_position_age,current_performance_percentile,qualified_seasons,average_performance_percentile,performance_percentile_stddev,minimum_performance_percentile,total_qualified_minutes,yoy_performance_percentile_change,yoy_market_value_change_eur,consistency_profile,lower_risk_position_rank,lower_risk_overall_rank
342229,Kylian Mbappé,26,Attack,Centre-Forward,Real Madrid,laliga,Spain,2917,,68.48,96.91,5,99.38,1.38,96.91,13317,-3.09,,Very stable,1,1
321528,Denzel Dumfries,29,Defender,Right-Back,Inter Milan,serie-a,Italy,1951,35000000,71.81,98.5,4,99.03,1.18,97.6,7843,-1.5,11000000,Very stable,1,2
175639,Jonathan Clauss,32,Defender,Right-Back,OGC Nice,ligue-1,France,2311,5000000,53.76,99.07,5,98.61,1.74,95.58,12582,3.49,-7000000,Very stable,2,3
398073,Achraf Hakimi,26,Defender,Right-Back,Paris Saint-Germain,ligue-1,France,2068,80000000,73.08,100,5,98.56,1.29,96.9,11204,0.88,20000000,Very stable,3,4
198116,Federico Dimarco,27,Defender,Left-Back,Inter Milan,serie-a,Italy,2197,50000000,68.8,100,5,98.46,1.54,96.15,10423,0.74,0,Very stable,4,5
418560,Erling Haaland,24,Attack,Centre-Forward,Manchester City,premier-league,England,2743,180000000,67.88,93.42,5,98.14,2.73,93.42,12403,-5.39,0,Very stable,2,6
580195,Jamal Musiala,22,Midfield,Attacking Midfield,Bayern Munich,bundesliga,Germany,1805,140000000,59.79,98.68,4,97.79,2.86,93.59,7239,-0.21,20000000,Very stable,1,7
314353,Trent Alexander-Arnold,26,Defender,Right-Back,Liverpool FC,premier-league,England,2377,75000000,72.22,99.16,5,97.74,1.98,94.44,13358,4.72,5000000,Very stable,5,8
148455,Mohamed Salah,33,Attack,Right Winger,Liverpool FC,premier-league,England,3380,50000000,80.56,100,5,97.24,2.65,94.12,15057,3.57,-5000000,Very stable,3,9
38253,Robert Lewandowski,36,Attack,Centre-Forward,FC Barcelona,laliga,Spain,2682,,83.33,95.88,5,97.04,2.12,94.38,13708,1.5,,Very stable,4,10
132098,Harry Kane,31,Attack,Centre-Forward,Bayern Munich,bundesliga,Germany,2391,75000000,71.74,100,5,96.79,4.38,89.77,14960,0,-25000000,Very stable,5,11
294057,James Maddison,28,Midfield,Attacking Midfield,Tottenham Hotspur,premier-league,England,1817,42000000,74.63,100,5,96.66,2.41,94.06,11029,5.94,-28000000,Very stable,2,12
553875,Pedro Porro,25,Defender,Right-Back,Tottenham Hotspur,premier-league,England,2609,38000000,67.09,94.96,3,96.47,3.07,94.44,6838,0.52,-7000000,Very stable,6,13
119211,Mitchell Weiser,31,Defender,Right-Back,SV Werder Bremen,bundesliga,Germany,2870,5000000,32.89,99.09,3,96.42,3.09,93.04,8031,6.05,-1000000,Very stable,7,14
484547,Jeremie Frimpong,24,Defender,Right-Back,Bayer 04 Leverkusen,bundesliga,Germany,2322,50000000,68.8,98.18,4,96.02,4.92,88.68,9372,-0.95,0,Very stable,8,15
238537,Wladimiro Falcone,30,Goalkeeper,Goalkeeper,US Lecce,serie-a,Italy,3420,3500000,20,95.83,3,95.83,4.17,91.67,10260,-4.17,-1500000,Very stable,1,16
598577,Florian Wirtz,22,Midfield,Attacking Midfield,Bayer 04 Leverkusen,bundesliga,Germany,2356,140000000,59.79,100,5,94.55,7.19,84.15,9923,0,10000000,Very stable,3,17
273132,Robin Gosens,30,Defender,Left-Back,ACF Fiorentina,serie-a,Italy,2617,8000000,44.3,96.24,4,94.37,6.16,85.6,8625,0.59,-4000000,Very stable,9,18
332560,Deiver Machado,31,Defender,Left-Back,RC Lens,ligue-1,France,1805,,74.5,89.81,3,94.35,4,89.81,5137,-7.54,,Very stable,10,19
