player_id,player_name,age,position,sub_position,club,league,league_country,minutes_played,appearances,goals,assists,goal_contributions,goal_contributions_per_90,availability_percentage,availability_percentile,performance_percentile,estimated_market_value_eur,position_age_median_market_value_eur,value_percentile,position_market_value_limit,previous_performance_percentile,yoy_performance_percentile_change,market_value_trend_eur,market_value_trend_percentage,qualified_seasons,average_performance_percentile,performance_percentile_stddev,minimum_performance_percentile,total_qualified_minutes,recruitment_score,recruitment_opportunity_classification,position_shortlist_rank,overall_shortlist_rank
554903,Mateo Retegui,26,Attack,Centre-Forward,Atalanta BC,serie-a,Italy,2404,36,25,8,33,1.235,70.29,79.73,100,45000000,18000000,56.36,60000000,41.18,58.82,29000000,181.25,2,70.59,41.59,41.18,4628,87.49,Established value,1,3
532826,Mason Greenwood,23,Attack,Right Winger,Olympique Marseille,ligue-1,France,2818,34,21,6,27,0.862,92.09,100,91.67,40000000,20000000,57.33,60000000,55.06,36.61,15000000,60,4,62.24,19.71,51.09,8590,85.23,High-upside candidate,2,6
418659,Amine Gouiri,25,Attack,Centre-Forward,Olympique Marseille,ligue-1,France,2089,33,13,5,18,0.775,68.27,72.22,88.89,30000000,18000000,47.27,60000000,44.12,44.77,5000000,20,5,73.6,17.23,44.12,12442,81.01,Established value,3,15
333647,Jonathan Burkardt,24,Attack,Centre-Forward,1.FSV Mainz 05,bundesliga,Germany,2125,29,18,3,21,0.889,69.44,75.36,91.3,35000000,18000000,50.91,60000000,60.61,30.69,23000000,191.67,4,54.26,31.99,13.64,7675,80.19,Established value,4,18
500689,Evann Guessand,23,Attack,Right Winger,OGC Nice,ligue-1,France,2575,33,12,9,21,0.734,84.15,88.89,83.33,25000000,20000000,40,60000000,55.88,27.45,17000000,212.5,3,58.64,23.43,36.71,5372,80.06,High-upside candidate,5,20
655012,Lucas Stassin,20,Attack,Centre-Forward,AS Saint-Étienne,ligue-1,France,1868,28,12,5,17,0.819,61.05,63.89,90.28,18000000,29000000,15,60000000,,,,,1,90.28,,90.28,1868,78.17,Potential value opportunity,6,34
315779,Christian Pulisic,26,Attack,Right Winger,AC Milan,serie-a,Italy,2492,34,11,11,22,0.795,72.87,83.78,93.24,50000000,18000000,58.18,60000000,86.76,6.48,10000000,25,4,72.19,27.31,32.61,8136,78.12,Established value,7,35
364135,Moise Kean,25,Attack,Centre-Forward,ACF Fiorentina,serie-a,Italy,2711,32,19,3,22,0.73,79.27,93.24,90.54,50000000,18000000,58.18,60000000,64.47,,,,4,79.15,11.48,64.47,6513,77.69,Consistent performer,8,37
585959,Arnaud Kalimuendo,23,Attack,Centre-Forward,Stade Rennais FC,ligue-1,France,2591,33,17,4,21,0.729,84.67,90.28,81.94,22000000,20000000,38.67,60000000,69.12,12.82,2000000,10,5,74.08,15.82,50,10075,77.65,High-upside candidate,9,38
559328,Emmanuel Emegha,22,Attack,Centre-Forward,RC Strasbourg Alsace,ligue-1,France,2307,27,14,3,17,0.663,75.39,79.17,75,25000000,20000000,40,60000000,42.65,32.35,13000000,108.33,2,58.83,22.87,42.65,4396,74.69,High-upside candidate,10,50
408471,Javi Puado,27,Attack,Left Winger,RCD Espanyol Barcelona,laliga,Spain,2989,35,12,4,16,0.482,87.4,97.94,71.13,10000000,18000000,23.03,60000000,43.16,,,,3,43.46,27.52,16.09,7596,74.2,Recruitment watchlist,11,56
533738,Jonathan David,25,Attack,Centre-Forward,LOSC Lille,ligue-1,France,2559,32,16,5,21,0.739,83.63,87.5,86.11,45000000,18000000,56.36,60000000,89.71,-3.6,-5000000,-10,5,78.09,17.84,47.06,13560,74.06,Established value,12,58
584769,Dwight McNeil,25,Attack,Left Winger,Everton FC,premier-league,England,1371,21,4,8,12,0.788,40.09,19.74,92.11,25000000,18000000,41.21,60000000,15.48,76.63,3000000,13.64,5,32.04,35.7,0,12952,73.82,Recruitment watchlist,13,59
522784,Taty Castellanos,26,Attack,Centre-Forward,Società Sportiva Lazio S.p.A.,serie-a,Italy,2395,29,10,5,15,0.564,70.03,78.38,74.32,25000000,18000000,41.21,60000000,44.12,30.2,10000000,66.67,3,63.34,16.7,44.12,6692,73.68,Recruitment watchlist,14,60
406040,Ademola Lookman,27,Attack,Left Winger,Atalanta BC,serie-a,Italy,2265,31,15,5,20,0.795,66.23,70.27,93.24,60000000,18000000,61.82,60000000,95.59,-2.35,20000000,50,5,71.18,35.11,23.91,10111,73.55,Established value,15,61
335457,Ermedin Demirovic,27,Attack,Centre-Forward,VfB Stuttgart,bundesliga,Germany,1855,34,15,2,17,0.825,60.62,62.32,85.51,22000000,18000000,37.58,60000000,81.82,3.69,-6000000,-21.43,4,76.12,19.16,47.76,8627,72.64,Potential value opportunity,16,68
729814,Georges Mikautadze,24,Attack,Centre-Forward,Olympique Lyon,ligue-1,France,1434,34,11,6,17,1.067,46.86,36.11,95.83,22000000,18000000,37.58,60000000,98.53,-2.7,7000000,46.67,2,97.18,1.91,95.83,3189,71.6,Potential value opportunity,17,76
505653,Fábio Silva,22,Attack,Centre-Forward,UD Las Palmas,laliga,Spain,1878,24,10,3,13,0.623,54.91,56.7,86.6,20000000,20000000,37.33,60000000,56.52,,,,2,71.56,21.27,56.52,3234,71.54,Potential value opportunity,18,77
746910,Mohamed Amoura,25,Attack,Centre-Forward,VfL Wolfsburg,bundesliga,Germany,2486,31,10,12,22,0.796,81.24,89.86,76.81,32000000,18000000,50.3,60000000,,,,,1,76.81,,76.81,2486,71.33,Recruitment watchlist,19,80
572265,Lorenzo Lucca,24,Attack,Centre-Forward,Udinese Calcio,serie-a,Italy,2363,33,12,2,14,0.533,69.09,77.03,68.92,22000000,18000000,37.58,60000000,51.47,17.45,10000000,83.33,2,60.2,12.34,51.47,4964,69.35,Recruitment watchlist,20,98
496094,Karim Adeyemi,23,Attack,Right Winger,Borussia Dortmund,bundesliga,Germany,1441,25,7,6,13,0.812,47.09,34.78,82.61,45000000,20000000,61.33,60000000,33.33,49.28,17000000,60.71,3,67,29.19,33.33,3749,68.95,Recruitment watchlist,21,102
565821,Mika Biereth,22,Attack,Centre-Forward,AS Monaco,ligue-1,France,1239,16,13,2,15,1.09,40.49,26.39,97.22,30000000,20000000,50.67,60000000,,,,,1,97.22,,97.22,1239,68.79,Recruitment watchlist,22,104
626724,João Pedro,23,Attack,Centre-Forward,Brighton & Hove Albion,premier-league,England,1953,27,10,6,16,0.737,57.11,47.37,82.89,50000000,20000000,65.33,60000000,50,32.89,5000000,11.11,3,49.22,34.07,14.77,5638,68.55,Established value,23,108
357498,Dušan Vlahović,25,Attack,Centre-Forward,Juventus FC,serie-a,Italy,1784,29,10,4,14,0.706,52.16,48.65,87.84,35000000,18000000,50.91,60000000,88.24,-0.4,-30000000,-46.15,5,82.62,9.64,68.42,11907,68.45,Consistent performer,24,109
455661,Nick Woltemade,23,Attack,Centre-Forward,VfB Stuttgart,bundesliga,Germany,1620,28,12,2,14,0.778,52.94,44.93,73.91,30000000,20000000,50.67,60000000,3.03,70.88,26000000,650,2,38.47,50.12,3.03,2804,68.34,High-upside candidate,25,110
569389,Sofiane Diop,25,Attack,Left Winger,OGC Nice,ligue-1,France,1052,28,6,5,11,0.941,34.38,11.11,93.06,10000000,18000000,23.03,60000000,44.3,,,,4,53.17,29.54,22.37,6337,67.8,Potential value opportunity,26,113
536835,Amad Diallo,22,Attack,Right Winger,Manchester United,premier-league,England,1903,26,8,8,16,0.757,55.64,44.74,90.79,45000000,20000000,61.33,60000000,,,,,1,90.79,,90.79,1903,67.64,Established value,27,114
550550,Gonçalo Ramos,24,Attack,Centre-Forward,Paris Saint-Germain,ligue-1,France,1063,22,10,3,13,1.101,34.74,15.28,98.61,40000000,18000000,54.55,60000000,92.65,5.96,-10000000,-20,2,95.63,4.21,92.65,2483,67.57,Recruitment watchlist,28,115
487969,Randal Kolo Muani,26,Attack,Centre-Forward,Juventus FC,serie-a,Italy,1514,26,10,2,12,0.713,44.27,36.49,89.19,30000000,18000000,47.27,60000000,88.24,0.95,-15000000,-33.33,5,78.93,17.98,54.41,11580,67.45,Recruitment watchlist,29,117
429983,Jørgen Strand Larsen,25,Attack,Centre-Forward,Wolverhampton Wanderers,premier-league,England,2603,35,14,4,18,0.622,76.11,77.63,69.74,30000000,18000000,47.27,60000000,62.92,6.82,5000000,20,3,64.22,5,60,7200,66.83,Recruitment watchlist,30,121
550580,Shuto Machino,25,Attack,Centre-Forward,Holstein Kiel,bundesliga,Germany,1959,32,11,3,14,0.643,64.02,71.01,63.77,5000000,18000000,13.33,60000000,,,,,1,63.77,,63.77,1959,66.59,Recruitment watchlist,31,124
365108,Dan Ndoye,24,Attack,Right Winger,Bologna Football Club 1909,serie-a,Italy,2151,30,8,4,12,0.502,62.89,64.86,62.16,35000000,18000000,50.91,60000000,4.41,57.75,21000000,150,2,33.29,40.84,4.41,3927,66.42,Recruitment watchlist,32,126
265078,Patrick Cutrone,27,Attack,Centre-Forward,Como 1907,serie-a,Italy,2056,33,7,5,12,0.525,60.12,60.81,67.57,6000000,18000000,18.18,60000000,12.68,,,,2,40.13,38.81,12.68,3457,65.72,Recruitment watchlist,33,129
412932,Myron Boadu,24,Attack,Centre-Forward,VfL Bochum,bundesliga,Germany,1043,19,9,1,10,0.863,34.08,10.14,86.96,7000000,18000000,18.79,60000000,45.59,,,,2,66.28,29.25,45.59,1990,65.19,Potential value opportunity,34,136
583189,Anthony Elanga,23,Attack,Right Winger,Nottingham Forest,premier-league,England,2510,38,6,11,17,0.61,73.39,75,67.11,42000000,20000000,60,60000000,48.81,18.3,20000000,90.91,3,47.35,20.52,26.14,6158,64.8,Recruitment watchlist,35,138
578392,Maximilian Beier,22,Attack,Centre-Forward,Borussia Dortmund,bundesliga,Germany,1590,29,8,6,14,0.792,51.96,42.03,75.36,25000000,20000000,40,60000000,71.21,4.15,-5000000,-16.67,2,73.29,2.93,71.21,4025,63.21,High-upside candidate,36,154
633454,Alexander Bernhardsson,26,Attack,Right Winger,Holstein Kiel,bundesliga,Germany,1271,19,7,3,10,0.708,41.54,26.09,72.46,3000000,18000000,7.27,60000000,,,,,1,72.46,,72.46,1271,62.86,Recruitment watchlist,37,156
331726,Tammy Abraham,27,Attack,Centre-Forward,AC Milan,serie-a,Italy,1178,29,3,5,8,0.611,34.44,20.27,79.73,15000000,18000000,29.7,60000000,57.89,,,,4,72.34,13.34,57.89,7503,61.96,Potential value opportunity,38,160
