club_id,club_name,competition_id,competition_name,incoming_transfer_records,outgoing_transfer_records,known_paid_transfers,known_fee_sales,recorded_zero_fee_arrivals,recorded_zero_fee_departures,missing_fee_arrivals,missing_fee_departures,known_transfer_expenditure_eur,known_transfer_income_eur,known_net_transfer_balance_eur,expenditure_rank,income_rank,positive_balance_rank,negative_balance_rank
1003,Leicester,GB1,premier-league,25,17,9,1,13,16,3,0,117000000,11850000,-105150000,1,37,136,1
180,Southampton,GB1,premier-league,23,13,10,3,12,9,1,1,95600000,38400000,-57200000,2,11,131,6
405,Aston Villa,GB1,premier-league,25,24,4,7,16,16,5,1,82050000,86050000,4000000,3,1,39,98
350,Sheff Utd,GB1,premier-league,20,21,5,1,11,17,4,3,80550000,16650000,-63900000,4,29,132,5
631,Chelsea,GB1,premier-league,11,10,3,1,7,9,1,0,78500000,5000000,-73500000,5,59,134,3
2919,Monza,IT1,serie-a,53,32,18,0,29,29,6,3,77705000,0,-77705000,6,103,135,2
677,Ipswich,GB1,premier-league,18,8,8,2,7,5,3,1,67140000,2410000,-64730000,7,75,133,4
131,Barcelona,ES1,laliga,7,8,2,2,5,6,0,0,63400000,23500000,-39900000,8,18,130,7
1421,Stade Reims,FR1,ligue-1,24,19,10,5,11,14,3,0,54300000,31900000,-22400000,9,14,122,15
368,Sevilla FC,ES1,laliga,16,20,4,3,11,15,1,2,45100000,19680000,-25420000,10,26,123,14
273,Stade Rennais,FR1,ligue-1,17,16,5,5,8,11,4,0,42000000,32670000,-9330000,11,12,103,34
46,Inter,IT1,serie-a,21,23,2,3,17,20,2,0,41200000,5900000,-35300000,12,55,128,9
985,Man Utd,GB1,premier-league,12,11,1,1,6,7,5,3,40000000,1700000,-38300000,13,83,129,8
416,Torino,IT1,serie-a,21,22,4,4,16,15,1,3,36500000,7600000,-28900000,14,48,127,10
276,Hellas Verona,IT1,serie-a,47,39,9,5,36,31,2,3,35100000,24160000,-10940000,15,17,107,30
3302,UD Almería,ES1,laliga,31,20,10,1,19,18,2,1,33280000,6000000,-27280000,16,54,126,11
417,OGC Nice,FR1,ligue-1,25,24,4,3,15,17,6,4,31230000,9400000,-21830000,17,44,121,16
12,Roma,IT1,serie-a,18,19,2,6,11,12,5,1,29300000,39790000,10490000,18,9,22,115
380,Salernitana,IT1,serie-a,49,38,11,1,31,31,7,6,28080000,2000000,-26080000,19,80,125,12
430,Fiorentina,IT1,serie-a,36,38,4,3,27,31,5,4,27860000,21880000,-5980000,20,22,93,44
162,Monaco,FR1,ligue-1,12,17,2,5,9,10,1,2,26000000,14900000,-11100000,21,32,108,29
703,Nottm Forest,GB1,premier-league,23,21,5,1,16,16,2,4,26000000,100000,-25900000,21,101,124,13
252,Genoa,IT1,serie-a,51,45,9,6,39,35,3,4,25300000,6150000,-19150000,22,53,119,18
379,West Ham,GB1,premier-league,7,9,3,3,2,5,2,1,24950000,23000000,-1950000,23,20,79,58
31,Liverpool,GB1,premier-league,10,16,2,1,7,11,1,4,23850000,4100000,-19750000,24,66,120,17
1031,Luton,GB1,premier-league,51,33,8,2,28,26,15,5,21650000,6150000,-15500000,25,53,113,24
1041,Olympique Lyon,FR1,ligue-1,20,15,4,1,13,12,3,2,20580000,2500000,-18080000,26,73,118,19
533,TSG Hoffenheim,L1,bundesliga,22,19,4,2,12,12,6,5,20300000,3000000,-17300000,27,70,117,20
618,Saint-Étienne,FR1,ligue-1,23,11,6,2,10,7,7,2,19700000,4000000,-15700000,28,67,114,23
410,Udinese Calcio,IT1,serie-a,37,32,3,3,30,27,4,2,19450000,15500000,-3950000,29,31,88,49
399,Leeds,GB1,premier-league,6,9,1,1,5,7,0,1,17700000,1200000,-16500000,30,90,115,22
667,R. Strasbourg,FR1,ligue-1,25,20,7,0,12,17,6,3,16900000,0,-16900000,31,103,116,21
366,Real Valladolid,ES1,laliga,32,29,8,4,21,24,3,1,15350000,11500000,-3850000,32,39,87,50
621,Athletic Club,ES1,laliga,14,16,1,2,11,12,2,2,15000000,1500000,-13500000,33,86,112,25
607,Venezia,IT1,serie-a,26,19,7,1,17,18,2,0,14500000,2500000,-12000000,34,73,110,27
130,Parma,IT1,serie-a,15,16,4,3,10,11,1,2,13780000,6650000,-7130000,35,50,99,38
3008,Hull City,GB1,premier-league,13,16,3,3,9,12,1,1,13100000,39300000,26200000,36,10,9,128
16795,Granada CF,ES1,laliga,23,24,6,4,16,19,1,1,12850000,6450000,-6400000,37,52,94,43
1010,Watford,GB1,premier-league,16,19,2,4,13,14,1,1,12500000,23100000,10600000,38,19,21,116
82,Wolfsburg,L1,bundesliga,16,18,2,0,10,15,4,3,12500000,0,-12500000,38,103,111,26
244,Marseille,FR1,ligue-1,16,18,1,3,12,14,3,1,12450000,6000000,-6450000,39,54,96,41
6195,SSC Napoli,IT1,serie-a,25,24,1,5,19,18,5,1,11500000,40780000,29280000,40,8,7,130
749,FC Empoli,IT1,serie-a,38,28,7,0,25,24,6,4,11350000,0,-11350000,41,103,109,28
2687,Cádiz CF,ES1,laliga,29,23,7,1,19,18,3,4,11200000,1000000,-10200000,42,92,105,32
367,Rayo Vallecano,ES1,laliga,21,18,1,1,17,16,3,1,11000000,700000,-10300000,43,95,106,31
6574,Sassuolo,IT1,serie-a,25,29,1,7,22,19,2,3,11000000,55450000,44450000,43,5,5,132
89,Union Berlin,L1,bundesliga,23,20,5,4,15,16,3,0,11000000,4150000,-6850000,43,65,97,40
1038,Sampdoria,IT1,serie-a,26,28,5,7,18,19,3,2,10500000,19260000,8760000,44,27,27,110
681,Real Sociedad,ES1,laliga,9,8,1,0,5,7,3,1,10000000,0,-10000000,45,103,104,33
2288,Swansea,GB1,premier-league,13,11,7,3,6,8,0,0,9130000,15850000,6720000,46,30,30,107
1420,Angers SCO,FR1,ligue-1,7,10,2,1,3,7,2,2,9000000,2000000,-7000000,47,80,98,39
