from_competition_id,from_competition_name,to_competition_id,to_competition_name,transfer_count,known_fee_transfer_count,recorded_zero_fee_count,missing_or_undisclosed_fee_count,known_transfer_value_eur,average_known_fee_eur,route_frequency_rank
FR1,ligue-1,BE1,jupiler-pro-league,39,8,27,4,11450000,1431250,1
FR1,ligue-1,IT1,serie-a,28,6,22,0,21600000,3600000,2
GB1,premier-league,SC1,scottish-premiership,28,3,24,1,7010000,2336666.67,2
BE1,jupiler-pro-league,FR1,ligue-1,27,2,25,0,20000000,10000000,3
FR1,ligue-1,TR1,super-lig,25,2,16,7,5000000,2500000,4
L1,bundesliga,NL1,eredivisie,22,3,18,1,8300000,2766666.67,5
ES1,laliga,PO1,liga-portugal,22,2,19,1,350000,175000,5
SC1,scottish-premiership,GB1,premier-league,21,3,18,0,3543000,1181000,6
IT1,serie-a,ES1,laliga,21,7,14,0,100710000,14387142.86,6
IT1,serie-a,FR1,ligue-1,21,4,17,0,17950000,4487500,6
IT1,serie-a,TR1,super-lig,20,1,16,3,2300000,2300000,7
ES1,laliga,IT1,serie-a,19,3,16,0,5220000,1740000,8
BE1,jupiler-pro-league,GB1,premier-league,18,5,13,0,17800000,3560000,9
GB1,premier-league,IT1,serie-a,18,3,14,1,30600000,10200000,9
NL1,eredivisie,L1,bundesliga,16,1,15,0,750000,750000,10
FR1,ligue-1,ES1,laliga,16,3,13,0,11700000,3900000,10
GB1,premier-league,BE1,jupiler-pro-league,16,2,13,1,7500000,3750000,10
GB1,premier-league,TR1,super-lig,16,1,13,2,100000,100000,10
GB1,premier-league,ES1,laliga,15,3,12,0,7750000,2583333.33,11
ES1,laliga,FR1,ligue-1,14,3,11,0,15000000,5000000,12
FR1,ligue-1,GB1,premier-league,13,7,5,1,51500000,7357142.86,13
IT1,serie-a,GB1,premier-league,13,1,12,0,14000000,14000000,13
PO1,liga-portugal,ES1,laliga,12,2,10,0,18000000,9000000,14
IT1,serie-a,NL1,eredivisie,12,0,12,0,,,14
TR1,super-lig,IT1,serie-a,12,0,12,0,,,14
L1,bundesliga,TR1,super-lig,11,2,9,0,1150000,575000,15
