transfer_id,player_id,player_name,age_at_transfer,age_group,position,sub_position,transfer_date,transfer_season,from_club_name,from_competition_name,to_club_name,to_competition_name,transfer_fee,transfer_fee_status,pre_transfer_minutes,post_transfer_minutes,minutes_change,minutes_percentage_change,pre_transfer_goal_contributions_per_90,post_transfer_goal_contributions_per_90,goal_contributions_per_90_change,sporting_outcome_profile,improvement_rank,decline_rank
11465,23951,Steve Mandanda,37,32+,Goalkeeper,Goalkeeper,6/7/22,2022,Marseille,ligue-1,Stade Rennais,ligue-1,0,Recorded zero fee,810,3015,2205,272.22,0,0.03,0.03,Improved playing time,1,141
7661,370701,Michele Cerofolini,24,24-27,Goalkeeper,Goalkeeper,14/8/23,2023,Fiorentina,serie-a,Frosinone,serie-a,0,Recorded zero fee,450,675,225,50,0,0,0,Improved playing time,2,140
11432,7825,Pepe Reina,39,32+,Goalkeeper,Goalkeeper,8/7/22,2022,Lazio,serie-a,Villarreal,laliga,0,Recorded zero fee,1350,1980,630,46.67,0.067,0,-0.067,Improved playing time,3,139
14315,25508,Salvatore Sirigu,34,32+,Goalkeeper,Goalkeeper,3/8/21,2021,Torino,serie-a,Genoa,serie-a,0,Recorded zero fee,2880,3330,450,15.63,0,0,0,Improved playing time,4,138
11565,99254,Luigi Sepe,31,28-31,Goalkeeper,Goalkeeper,1/7/22,2022,Parma,serie-a,Salernitana,serie-a,0,Recorded zero fee,1394,1530,136,9.76,0,0,0,Improved playing time,5,137
14554,45026,Rui Patrício,33,32+,Goalkeeper,Goalkeeper,13/7/21,2021,Wolves,premier-league,Roma,serie-a,11800000,Positive known fee,3330,3420,90,2.7,0,0,0,Improved playing time,6,136
11616,179635,Philipp Förster,27,24-27,Midfield,Attacking Midfield,1/7/22,2022,VfB Stuttgart,bundesliga,VfL Bochum,bundesliga,500000,Positive known fee,971,1315,344,35.43,0.278,0.821,0.543,Improved minutes and productivity,7,135
14403,111630,Erik Lamela,29,28-31,Attack,Right Winger,26/7/21,2021,Tottenham,premier-league,Sevilla FC,laliga,0,Recorded zero fee,704,1015,311,44.18,0.128,0.621,0.493,Improved minutes and productivity,8,134
14740,112935,Mark Uth,29,28-31,Attack,Centre-Forward,1/7/21,2021,FC Schalke 04,bundesliga,1.FC Köln,bundesliga,0,Recorded zero fee,1497,2042,545,36.41,0.24,0.573,0.333,Improved minutes and productivity,9,133
10883,288318,Adrián Embarba,30,28-31,Attack,Right Winger,24/8/22,2022,Espanyol,laliga,UD Almería,laliga,1000000,Positive known fee,1998,1507,-491,-24.57,0.09,0.418,0.328,Improved productivity,10,132
14038,256429,Sergi Guardiola,30,28-31,Attack,Centre-Forward,31/8/21,2021,Real Valladolid,laliga,Rayo Vallecano,laliga,0,Recorded zero fee,1793,1714,-79,-4.41,0.201,0.525,0.324,Improved productivity,11,131
3400,562049,Edoardo Bove,22,21-23,Midfield,Central Midfield,30/8/24,2024,Roma,serie-a,Fiorentina,serie-a,0,Recorded zero fee,1777,856,-921,-51.83,0.101,0.421,0.32,Improved productivity,12,130
15065,630995,Rodri Sánchez,21,21-23,Attack,Right Winger,1/7/21,2021,Betis Deportivo,,Real Betis,laliga,,Missing or undisclosed fee,532,880,348,65.41,0,0.307,0.307,Improved minutes and productivity,13,129
7506,203842,Viktor Kovalenko,27,24-27,Midfield,Central Midfield,25/8/23,2023,Atalanta BC,serie-a,FC Empoli,serie-a,0,Recorded zero fee,547,606,59,10.79,0.165,0.446,0.281,Improved minutes and productivity,14,128
11481,309944,Tyronne Ebuehi,26,24-27,Defender,Right-Back,5/7/22,2022,Benfica B,,FC Empoli,serie-a,0,Recorded zero fee,1142,1928,786,68.83,0,0.28,0.28,Improved minutes and productivity,15,127
7624,232463,Luca Pfeiffer,26,24-27,Attack,Centre-Forward,17/8/23,2023,VfB Stuttgart,bundesliga,Darmstadt 98,bundesliga,0,Recorded zero fee,695,1626,931,133.96,0,0.277,0.277,Improved minutes and productivity,16,126
14749,131951,Kevin Lasagna,28,28-31,Attack,Centre-Forward,1/7/21,2021,Udinese Calcio,serie-a,Hellas Verona,serie-a,6500000,Positive known fee,2371,1173,-1198,-50.53,0.19,0.46,0.27,Improved productivity,17,125
