club_id,club_name,competition_id,competition_name,acquisitions_with_known_fee_and_value,known_transfer_spending_eur,positive_post_transfer_value_growth_eur,net_post_transfer_value_change_eur,average_post_transfer_value_change_eur,median_post_transfer_value_change_eur,positive_value_growth_per_euro_spent,net_value_change_per_euro_spent,net_value_change_vs_spending_percentage,development_efficiency_rank
472,UD Las Palmas,ES1,laliga,5,6650000,14700000,12500000,2500000,-500000,2.211,1.88,187.97,1
2288,Swansea,GB1,premier-league,3,3355000,6300000,6300000,2100000,1000000,1.878,1.878,187.78,2
8970,Frosinone,IT1,serie-a,5,4250000,6350000,6350000,1270000,1500000,1.494,1.494,149.41,3
1025,Bologna,IT1,serie-a,3,3360000,2750000,2750000,916666.67,250000,0.818,0.818,81.85,4
618,Saint-Étienne,FR1,ligue-1,5,18100000,15550000,12450000,2490000,-400000,0.859,0.688,68.78,5
1390,Cagliari,IT1,serie-a,3,3940000,2025000,2025000,675000,200000,0.514,0.514,51.4,6
1095,Troyes,FR1,ligue-1,4,4900000,3000000,2500000,625000,-100000,0.612,0.51,51.02,7
269,Holstein Kiel,L1,bundesliga,6,3950000,2700000,1800000,300000,0,0.684,0.456,45.57,8
969,Montpellier,FR1,ligue-1,3,8600000,4400000,3400000,1133333.33,0,0.512,0.395,39.53,9
416,Torino,IT1,serie-a,4,36500000,18200000,12200000,3050000,-400000,0.499,0.334,33.42,10
1421,Stade Reims,FR1,ligue-1,6,33000000,11350000,7850000,1308333.33,1175000,0.344,0.238,23.79,11
350,Sheff Utd,GB1,premier-league,3,42700000,9400000,9400000,3133333.33,1400000,0.22,0.22,22.01,12
607,Venezia,IT1,serie-a,5,9500000,5250000,1550000,310000,250000,0.553,0.163,16.32,13
1038,Sampdoria,IT1,serie-a,4,10000000,3200000,1400000,350000,-400000,0.32,0.14,14,14
180,Southampton,GB1,premier-league,7,82750000,12900000,11600000,1657142.86,0,0.156,0.14,14.02,15
347,FC Metz,FR1,ligue-1,4,5200000,1600000,700000,175000,0,0.308,0.135,13.46,16
86,Werder Bremen,L1,bundesliga,3,8200000,2100000,1100000,366666.67,100000,0.256,0.134,13.41,17
105,Darmstadt 98,L1,bundesliga,3,5000000,1000000,500000,166666.67,200000,0.2,0.1,10,18
677,Ipswich,GB1,premier-league,4,40990000,3400000,2700000,675000,200000,0.083,0.066,6.59,19
1031,Luton,GB1,premier-league,6,20050000,7800000,1300000,216666.67,900000,0.389,0.065,6.48,20
2861,KV Oostende,BE1,jupiler-pro-league,3,6500000,1525000,325000,108333.33,-400000,0.235,0.05,5,21
276,Hellas Verona,IT1,serie-a,9,35100000,7000000,-800000,-88888.89,-500000,0.199,-0.023,-2.28,22
749,FC Empoli,IT1,serie-a,7,11350000,1700000,-350000,-50000,-200000,0.15,-0.031,-3.08,23
1005,Lecce,IT1,serie-a,7,6000000,1150000,-350000,-50000,-200000,0.192,-0.058,-5.83,24
533,Hoffenheim,L1,bundesliga,3,20000000,500000,-1500000,-500000,0,0.025,-0.075,-7.5,25
3302,UD Almería,ES1,laliga,8,32600000,6000000,-3000000,-375000,-500000,0.184,-0.092,-9.2,26
1003,Leicester,GB1,premier-league,7,86000000,8700000,-9300000,-1328571.43,-1000000,0.101,-0.108,-10.81,27
405,Aston Villa,GB1,premier-league,4,82050000,1000000,-12000000,-3000000,-1500000,0.012,-0.146,-14.63,28
2919,Monza,IT1,serie-a,15,76760000,5250000,-11550000,-770000,-600000,0.068,-0.15,-15.05,29
16795,Granada CF,ES1,laliga,4,7000000,200000,-1100000,-275000,-150000,0.029,-0.157,-15.71,30
368,Sevilla FC,ES1,laliga,3,38700000,3500000,-6500000,-2166666.67,1000000,0.09,-0.168,-16.8,31
80,VfL Bochum,L1,bundesliga,4,2750000,300000,-500000,-125000,-150000,0.109,-0.182,-18.18,32
252,Genoa,IT1,serie-a,7,17800000,0,-3400000,-485714.29,-400000,0,-0.191,-19.1,33
380,Salernitana,IT1,serie-a,8,24230000,1100000,-5700000,-712500,-550000,0.045,-0.235,-23.52,34
667,R. Strasbourg,FR1,ligue-1,5,11000000,650000,-3150000,-630000,-500000,0.059,-0.286,-28.64,35
366,Real Valladolid,ES1,laliga,6,12350000,0,-4500000,-750000,-750000,0,-0.364,-36.44,36
2687,Cádiz CF,ES1,laliga,5,9000000,250000,-4450000,-890000,-500000,0.028,-0.494,-49.44,37
1047,Como,IT1,serie-a,6,7450000,100000,-4600000,-766666.67,-450000,0.013,-0.617,-61.74,38
89,Union Berlin,L1,bundesliga,4,8500000,0,-7300000,-1825000,-1350000,0,-0.859,-85.88,39
2282,Club Brugge,BE1,jupiler-pro-league,3,9400000,0,-12400000,-4133333.33,-2500000,0,-1.319,-131.91,40
